	file	Size	Phylum_Depth	Normalization	Encoding_classifier	AUC	ACC	Recall	Precision	F1_score	time-end	runtime(sec)	classficationtime(sec)	besthyper-parameter
0	DM_Small_2_Log	Small	2	Log	rf	0.8877	0.8127	0.5827	0.757	0.6585	2023-09-20 12:00:48.451118	691.93	691.93	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}
1	DM_Small_2_Log	Small	2	Log	AE[20]_svm	0.8413	0.7871	0.5971	0.6776	0.6348	2023-09-20 12:09:06.777096	481.97	453.84	{'C': 32, 'gamma': 8, 'kernel': 'rbf'}
2	DM_Small_2_Log	Small	2	Log	AE[20]_rf	0.8753	0.806	0.5755	0.7407	0.6478	2023-09-20 12:23:09.540290	1324.73	842.76	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}
3	DM_Small_2_Log	Small	2	Log	AE[20]_mlp	0.8633	0.8094	0.5863	0.7443	0.6559	2023-09-20 15:34:40.599735	12815.79	11491.05	{'dropout_rate': 0.1, 'epochs': 200, 'numHiddenLayers': 2, 'numUnits': 100}
4	DM_Small_-1_Log	Small	None	Log	rf	0.8878	0.8172	0.5899	0.7664	0.6667	2023-09-20 16:22:59.026239	839.31	839.31	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 900}
5	DM_Small_-1_Log	Small	None	Log	AE[20]_svm	0.8352	0.7837	0.5935	0.6707	0.6298	2023-09-20 16:36:13.661007	769.16	727.01	{'C': 32, 'gamma': 8, 'kernel': 'rbf'}
6	DM_Small_-1_Log	Small	None	Log	AE[20]_rf	0.8758	0.8004	0.5827	0.72	0.6441	2023-09-20 16:52:51.219769	1766.72	997.55	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}
7	DM_Small_-1_Log	Small	None	Log	AE[20]_mlp	0.862	0.7915	0.6043	0.6857	0.6424	2023-09-20 21:59:38.104979	20173.61	18406.85	{'dropout_rate': 0.3, 'epochs': 300, 'numHiddenLayers': 2, 'numUnits': 50}
8	DM_Small_2_Sigmoid	Small	2	Sigmoid	rf	0.9275	0.8548	0.7531	0.7928	0.7724	2023-09-20 17:15:18.217770	1289.04	1289.03	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}
9	DM_Small_2_Sigmoid	Small	2	Sigmoid	AE[20]_svm	0.8806	0.8313	0.7125	0.7575	0.7343	2023-09-20 17:36:26.242378	1242.72	1145.53	{'C': 32, 'gamma': 8, 'kernel': 'rbf'}
10	DM_Small_2_Sigmoid	Small	2	Sigmoid	AE[20]_rf	0.9076	0.8313	0.7125	0.7575	0.7343	2023-09-20 18:03:20.284710	2856.77	1614.03	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}
11	DM_Small_2_Sigmoid	Small	2	Sigmoid	AE[20]_mlp	0.8992	0.8333	0.7312	0.7524	0.7417	2023-09-21 08:39:44.474023	55440.96	52584.18	{'dropout_rate': 0.3, 'epochs': 300, 'numHiddenLayers': 2, 'numUnits': 100}
12	DM_Small_1_none	Small	1	none	rf	0.9273	0.8579	0.7406	0.8089	0.7732	2023-09-20 22:20:04.798293	852.08	852.05	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}
13	DM_Small_1_none	Small	1	none	AE[20]_svm	0.8829	0.8313	0.7125	0.7575	0.7343	2023-09-20 22:36:57.346888	981.42	928.69	{'C': 32, 'gamma': 8, 'kernel': 'rbf'}
14	DM_Small_1_none	Small	1	none	AE[20]_rf	0.9054	0.8282	0.7125	0.75	0.7308	2023-09-20 22:55:23.881635	2087.96	1106.53	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}
15	DM_Small_1_none	Small	1	none	AE[20]_mlp	0.894	0.8323	0.7219	0.7549	0.738	2023-09-21 05:28:17.033896	25661.11	23573.14	{'dropout_rate': 0.1, 'epochs': 300, 'numHiddenLayers': 2, 'numUnits': 50}
16	DM_Small_1_Quantile	Small	1	Quantile	rf	0.9116	0.8379	0.7125	0.7755	0.7427	2023-09-20 12:03:02.986310	836.22	836.22	{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}
17	DM_Small_1_Quantile	Small	1	Quantile	AE[20]_svm	0.8621	0.8318	0.7344	0.7484	0.7413	2023-09-20 12:19:06.179757	944.95	911.13	{'C': 32, 'gamma': 8, 'kernel': 'rbf'}
