kingdom	phylum	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2098412	ERR2098413	ERR2098414	ERR2098415	ERR2098416	ERR2098417	ERR2098418	ERR2098419	ERR2098420	ERR2098421	ERR2098422	ERR2098423	ERR2098424	ERR2098425	ERR2098426	ERR2098427	ERR2098428	ERR2098429	ERR2098430	ERR2098431	ERR2098432	ERR2098433	ERR2098434	ERR2098435	ERR2098436	ERR2098437	ERR2098438	ERR2098439	ERR2098440	ERR2098441	ERR2098442	ERR2098443	ERR2098444	ERR2098445	ERR2098446	ERR2098447	ERR2098448	ERR2098449	ERR2098450	ERR2098451	ERR2098452	ERR2098453	ERR2098454	ERR2098455	ERR2098456	ERR2098457	ERR2098458	ERR2098459	ERR2098460	ERR2098461	ERR2098462	ERR2098463	ERR2098464	ERR2098465	ERR2098466	ERR2098467	ERR2098468	ERR2098469	ERR2098470	ERR2098471	ERR2098472	ERR2098473	ERR2098474	ERR2098475	ERR2098476	ERR2098477	ERR2098478	ERR2098479	ERR2098480	ERR2098481	ERR2098482	ERR2098483	ERR2098484	ERR2098485	ERR2098486	ERR2098487	ERR2098488	ERR2098489	ERR2098490	ERR2098491	ERR2098492	ERR2098493	ERR2098494	ERR2098495	ERR2098496	ERR2098497	ERR2098498	ERR2098499	ERR2098500	ERR2098501	ERR2098502	ERR2098503	ERR2098504	ERR2098505	ERR2098506	ERR2098507	ERR2098508	ERR2098509	ERR2098510	ERR2098511	ERR2098512	ERR2098513	ERR2098514	ERR2098515	ERR2098516	ERR2098517	ERR2098518	ERR2098519	ERR2098520	ERR2098521	ERR2098522	ERR2098523	ERR2098524	ERR2098525	ERR2098526	ERR2098527	ERR2098528	ERR2098529	ERR2098530	ERR2098531	ERR2098532	ERR2098533	ERR2098534	ERR2098535	ERR2098536	ERR2098537	ERR2098538	ERR2098539	ERR2098540	ERR2098541	ERR2098542	ERR2098543	ERR2098544	ERR2098545	ERR2098546	ERR2098547	ERR2098548	ERR2098549	ERR2098550	ERR2098551	ERR2098552	ERR2098553	ERR2098554	ERR2098555	ERR2098556	ERR2098557	ERR2098558	ERR2098559	ERR2098560	ERR2098561	ERR2098562	ERR2098563	ERR2098564	ERR2098565	ERR2098566	ERR2098567	ERR2098568	ERR2098569	ERR2098570	ERR2098571	ERR2098572	ERR2098573	ERR2098574	ERR2098575	ERR2098576	ERR2098577	ERR2098578	ERR2098579	ERR2098580	ERR2098581	ERR2098582	ERR2098583	ERR2098584	ERR2098585	ERR2098586	ERR2098587	ERR2098588	ERR2098589	ERR2098590	ERR2098591	ERR2098592	ERR2098593	ERR2098594	ERR2098595	ERR2098596	ERR2098597	ERR2098598	ERR2098599	ERR2098600	ERR2098601	ERR2098602	ERR2098603	ERR2098604	ERR2098605	ERR2098606	ERR2098607	ERR2098608	ERR2098609	ERR2098610	ERR2098611	ERR2098612	ERR2098613	ERR2098614	ERR2098615	ERR2098616	ERR2098617	ERR2098618	ERR2098619	ERR2098620	ERR2098621	ERR2098622	ERR2196983	ERR2196984	ERR2196985	ERR2196986	ERR2196987	ERR2196988	ERR2196989	ERR2196990	ERR2196991	ERR2196992	ERR2196993	ERR2196994	ERR2196995
Archaea	Candidatus_Aenigmarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Candidatus_Bathyarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	0	1	3	1	4	1	0	0	1	1	1	1	0	2	0	0	3	1	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	4	1	0	1	0	1	3	0	2	0	1	1	1	0	1	0	0	2	1	0	0	1	0	0	2	1	0	0	0	3	2	1	0	1	3	1	2	2	0	1	1	3	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	6	1	1	0	1	2	3	0	0	1	0	0	2	0	0	3	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Candidatus_Korarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Candidatus_Micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Crenarchaeota	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	4	4	1	3	0	4	3	0	1	0	3	1	6	0	1	1	6	3	5	3	4	4	0	0	1	0	2	3	3	2	3	0	6	4	4	1	2	2	2	1	6	2	1	1	5	7	1	2	0	4	4	6	2	0	6	2	2	3	7	3	2	0	0	1	0	1	0	3	1	0	0	3	1	0	1	0	3	1	0	1	2	1	1	1	1	1	0	0	1	2	0	2	4	1	0	1	3	2	2	4	0	1	1	1	2	9	4	0	0	1	0	0	2	3	1	2	4	0	2	4	3	0	3	2	2	2	7	2	8	4	1	4	2	2	0	0	4	0	1	0	0	3	0	0	0	0	1	3	2	4	1	1	1	0	1	6	1	1	2	3	0	1	1	3	1	0	0	0	0	0	0	4	0	0	3	0	0	0
Archaea	Euryarchaeota	127	151	148	147	130	152	85	190	139	144	55	58	321	15	97	64	172	32	22	6	60	9	1	207	168	146	51	31	42	12	11	10	22	99	122	76	84	47	27	30	55	1	1	11	15	7	12	11451	11003	7671	10214	9310	10502	8360	7130	3317	22850	786	6855	9724	14686	2267	4822	1074	2976	318	44	24336	14189	12052	5743	4689	4176	355	437	248	890	10215	12272	8208	9202	5409	5488	10398	6360	42	79	1866	2209	1398	592	2684	2213	2442	1970	1852	3963	1337	3021	1730	864	1762	1165	3220	6925	431	893	713	4827	587	881	226	919	461	76	5373	2242	2420	1166	1181	1414	240	154	331	50	139	582	1860	2743	1158	1721	821	741	1943	792	1801	133	158	422	686	165	173	104408	26703	437	1563	173	437	601	150	88	117	1856	1580	2000	1471	1865	1527	1201	1410	1021	4704	767	753	630	3718	469	704	169	1889	882	57	4468	2436	2216	782	936	1141	499	389	169	1245	1294	1619	1275	1978	567	484	921	898	128	176	378	527	118	105	82521	20371	599	2188	426	1001	91	3	2	1678	1568	1752	1393	1761	1256	1272	688	769	3698	94	693	450	3581	409	624	147	167	82	41	4666	923	1238	631	664	970	59	44	29	106	831	1716	706	858	574	492	654	738	35	29	331	447	135	93	53758	7810	84	316	67	116	22	66	30	41	183	79	197	6866	1873	570	1863	1504	64869	25860	146	63
Archaea	Nanoarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thaumarchaeota	241	283	281	320	239	383	275	418	324	308	150	124	475	5	359	186	219	79	41	2	41	19	1	384	393	331	125	86	83	11	13	0	48	343	344	332	280	96	115	44	139	4	1	44	61	20	32	12634	10859	10471	14024	10110	12218	10156	3947	2854	9928	94	9902	10872	4260	1146	2617	697	377	18	13	8514	9161	8678	1065	1489	639	65	48	41	127	9412	8103	9430	7493	2851	1812	2043	2826	16	13	1129	847	714	524	45812	30069	41957	38681	26434	57814	26393	59952	31307	12278	25259	26409	23733	50588	2956	21455	22607	30966	11438	12543	2245	6233	1477	555	47337	27010	34419	12491	13830	10548	2063	562	1395	157	395	4185	34574	44152	31867	26926	13294	11592	21075	14485	30993	726	975	4949	5269	2161	2679	222998	273493	2908	9542	1291	3029	3813	613	274	359	31516	23522	34294	31014	28198	30328	22303	21157	23201	34983	5148	17423	20078	25400	11170	10685	1743	13499	2716	594	39526	30804	31633	8514	11528	8823	3705	1757	459	8348	24701	28224	34441	31401	10711	8026	10187	16580	771	1123	4526	4547	1726	2594	146299	216004	3986	13854	2918	6823	504	9	10	23960	19317	26879	24956	22763	24389	20414	8935	16115	25231	482	14756	12663	22381	7995	8225	1158	1033	252	185	37543	10552	16640	6185	7983	6547	339	219	106	831	15193	24298	19529	12169	9352	6859	7260	11556	123	174	3429	3619	1310	1460	109913	138376	436	1892	364	628	145	180	95	39	608	237	20	3173	350	2904	28222	18791	113588	177319	83	59
Archaea	Unassigned	15	20	12	15	17	9	7	26	13	31	4	7	22	2	13	10	10	15	10	0	5	7	1	21	17	7	12	14	6	4	11	3	7	5	28	9	9	9	5	5	12	1	1	14	10	14	5	73	54	52	69	38	62	57	17	17	56	3	35	27	25	16	39	16	15	2	3	59	46	40	22	16	17	4	0	4	14	62	69	41	31	19	21	21	12	1	1	21	25	20	8	1385	1714	1312	1807	699	3224	699	1918	1025	347	1037	1484	441	2831	1176	940	812	1322	1170	1448	1329	744	501	580	2209	1290	963	815	819	839	521	151	582	64	349	792	1085	2020	1403	970	1164	734	1740	365	1456	918	774	682	603	813	788	5974	9201	1162	944	179	679	596	798	328	450	848	969	824	1211	993	1115	698	748	855	890	1726	1179	641	694	954	1051	850	1228	637	656	1618	730	710	535	565	460	599	653	353	1125	1103	671	1403	1461	586	394	693	642	1127	909	470	423	528	639	5878	6669	1426	1086	523	719	803	17	12	1070	1133	845	979	1083	1149	689	590	931	1135	211	963	834	741	1075	1340	646	178	129	177	1004	426	733	446	440	444	118	146	100	192	485	864	538	462	694	404	609	639	201	167	429	438	559	582	2424	2275	187	232	96	123	163	159	116	7	12	25	2	24	8	280	226	389	164	235	129	15
