superkingdom	kingdom	phylum	ERZ8868744_FASTA	ERZ8868456_FASTA	ERZ8868457_FASTA	ERZ8868305_FASTA	ERZ8868561_FASTA	ERZ8868578_FASTA	ERZ8868625_FASTA	ERZ8868524_FASTA
Archaea	Unassigned	Thaumarchaeota	1	2	0	1	0	1	3	1
Archaea	Unassigned	Unassigned	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	0	0	1	1	0	2	1	0
Bacteria	Unassigned	Actinobacteria	16	14	4	9	8	14	23	8
Bacteria	Unassigned	Bacteroidetes	15	11	14	13	22	22	14	14
Bacteria	Unassigned	Candidatus_Gracilibacteria	1	0	0	1	0	1	1	3
Bacteria	Unassigned	Candidatus_Marinimicrobia	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Candidatus_Peregrinibacteria	0	0	0	1	0	0	1	2
Bacteria	Unassigned	Candidatus_Saccharibacteria	2	0	0	0	1	0	0	0
Bacteria	Unassigned	Cyanobacteria	2	0	2	0	0	3	0	0
Bacteria	Unassigned	Elusimicrobia	2	0	1	0	0	0	1	1
Bacteria	Unassigned	Firmicutes	2	0	2	4	0	1	5	0
Bacteria	Unassigned	Nitrospinae	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Planctomycetes	1	1	2	2	5	1	2	1
Bacteria	Unassigned	Proteobacteria	90	64	54	76	68	66	94	64
Bacteria	Unassigned	Unassigned	18	7	16	28	27	10	34	11
Bacteria	Unassigned	Verrucomicrobia	0	0	0	1	3	0	1	0
Eukaryota	Fungi	Ascomycota	1	0	0	1	0	0	2	0
Eukaryota	Fungi	Basidiomycota	1	2	0	1	2	2	1	0
Eukaryota	Fungi	Unassigned	0	0	1	1	0	0	0	0
Eukaryota	Metazoa	Arthropoda	0	0	0	1	0	0	0	2
Eukaryota	Metazoa	Chordata	1	0	0	0	0	0	0	1
Eukaryota	Metazoa	Nematoda	0	0	0	0	0	0	1	0
Eukaryota	Metazoa	Unassigned	0	0	0	0	0	0	1	0
Eukaryota	Unassigned	Bacillariophyta	1	0	0	0	2	0	0	0
Eukaryota	Unassigned	Cercozoa	0	0	0	0	2	0	0	1
Eukaryota	Unassigned	Ciliophora	1	1	0	0	0	0	0	0
Eukaryota	Unassigned	Discosea	0	0	0	1	5	0	3	0
Eukaryota	Unassigned	Evosea	0	0	0	1	0	0	0	0
Eukaryota	Unassigned	Perkinsozoa	0	0	0	0	2	0	0	0
Eukaryota	Unassigned	Rhodophyta	0	0	0	0	0	2	0	0
Eukaryota	Unassigned	Unassigned	4	2	9	10	16	3	18	2
Eukaryota	Viridiplantae	Chlorophyta	0	0	0	0	0	0	3	0
Eukaryota	Viridiplantae	Streptophyta	1	0	0	0	0	1	0	0
Eukaryota	Viridiplantae	Unassigned	0	0	0	0	0	0	1	0
Unassigned	Unassigned	Unassigned	29	16	20	13	27	42	23	29
