superkingdom	kingdom	phylum	ERZ7462376_FASTA	ERZ7462372_FASTA	ERZ7462497_FASTA	ERZ7463206_FASTA	ERZ7462356_FASTA	ERZ7462777_FASTA	ERZ7463011_FASTA	ERZ7462896_FASTA	ERZ7462993_FASTA	ERZ7462853_FASTA	ERZ7462831_FASTA	ERZ7462634_FASTA	ERZ7463456_FASTA	ERZ7512791_FASTA	ERZ7463781_FASTA	ERZ7463532_FASTA	ERZ7463457_FASTA	ERZ7463454_FASTA	ERZ7463433_FASTA	ERZ7463297_FASTA	ERZ7463296_FASTA	ERZ7463277_FASTA	ERZ7463217_FASTA	ERZ7463204_FASTA	ERZ7463110_FASTA	ERZ7463072_FASTA	ERZ7463040_FASTA	ERZ7463021_FASTA	ERZ7462938_FASTA	ERZ7462832_FASTA	ERZ7462827_FASTA	ERZ7462311_FASTA	ERZ7462743_FASTA	ERZ7462733_FASTA	ERZ7462696_FASTA	ERZ7462638_FASTA	ERZ7462600_FASTA	ERZ7462236_FASTA	ERZ7462186_FASTA	ERZ7462167_FASTA	ERZ7462166_FASTA
Archaea	Unassigned	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Euryarchaeota	3	11	0	8	13	0	2	0	6	0	14	5	5	15	7	10	16	0	9	2	4	0	11	6	12	11	8	5	2	6	0	5	19	6	11	2	13	5	5	2	1
Archaea	Unassigned	Thaumarchaeota	0	1	1	3	8	2	0	0	1	0	10	1	1	7	1	2	7	0	1	0	0	0	2	1	3	1	2	2	0	1	0	1	4	2	5	7	4	1	2	0	1
Archaea	Unassigned	Unassigned	2	3	0	2	3	0	0	0	0	1	1	2	0	2	2	2	2	3	2	1	6	0	3	2	2	1	1	0	0	2	1	1	0	1	2	0	2	1	0	0	0
Bacteria	Unassigned	Acidobacteria	0	0	0	2	2	0	1	0	0	0	9	0	0	2	3	1	10	1	0	2	0	0	1	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Actinobacteria	5	15	4	12	9	10	4	8	7	8	18	10	10	15	9	15	16	5	11	5	3	3	13	8	9	9	5	11	3	9	3	11	18	9	6	2	8	8	5	9	5
Bacteria	Unassigned	Armatimonadetes	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	19	34	32	46	26	31	26	19	38	17	28	21	25	24	30	32	22	20	37	29	14	24	43	29	30	31	28	28	21	41	13	36	27	35	27	18	29	38	34	20	22
Bacteria	Unassigned	Balneolaeota	0	1	0	1	2	0	0	0	1	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	2	0	1	0	0	0	0
Bacteria	Unassigned	Calditrichaeota	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Dadabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Unassigned	Candidatus_Marinimicrobia	2	5	0	8	9	0	0	0	5	0	8	1	3	11	5	7	9	0	1	1	2	0	6	1	3	4	1	4	0	1	0	0	12	2	4	0	6	0	0	0	1
Bacteria	Unassigned	Candidatus_Poribacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Yanofskybacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlamydiae	0	0	0	0	0	1	1	2	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0
Bacteria	Unassigned	Chloroflexi	0	4	0	7	19	4	1	0	1	0	46	0	0	14	1	3	31	0	0	0	0	1	4	0	1	8	2	1	3	0	2	3	26	0	0	0	17	3	0	1	0
Bacteria	Unassigned	Cyanobacteria	7	0	5	2	3	5	3	3	2	8	2	0	2	1	5	1	0	11	7	4	4	6	2	2	7	4	7	5	13	4	2	5	2	1	8	7	4	3	4	6	5
Bacteria	Unassigned	Deinococcus-Thermus	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Elusimicrobia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Fibrobacteres	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Firmicutes	1	0	0	2	4	1	3	2	1	2	5	0	1	2	1	1	2	4	0	1	0	2	1	3	0	0	0	1	2	1	0	2	7	1	0	1	5	1	2	2	0
Bacteria	Unassigned	Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Gemmatimonadetes	0	0	1	0	3	0	0	0	0	0	3	0	0	4	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	1	2	0	0	0	0
Bacteria	Unassigned	Ignavibacteriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Kiritimatiellaeota	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Lentisphaerae	0	2	0	2	4	2	0	0	1	0	4	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	4	3	0	0
Bacteria	Unassigned	Nitrospinae	1	1	0	5	3	0	0	0	1	0	3	0	2	5	4	3	5	0	2	1	0	0	3	1	1	2	1	2	0	1	0	0	6	3	0	0	4	0	0	0	0
Bacteria	Unassigned	Planctomycetes	0	5	0	8	13	2	0	0	4	0	11	0	9	12	3	7	11	0	3	1	0	0	6	0	1	4	1	4	1	0	1	1	9	5	0	0	11	0	0	1	0
Bacteria	Unassigned	Proteobacteria	52	101	54	121	84	62	62	41	81	45	91	60	65	110	96	90	116	56	84	45	33	59	101	69	60	79	52	57	63	88	38	95	110	88	64	62	115	67	62	56	69
