superkingdom	kingdom	phylum	ERZ9869192_FASTA	ERZ9869195_FASTA	ERZ9869191_FASTA
Archaea	Unassigned	Thaumarchaeota	0	1	0
Bacteria	Unassigned	Acidobacteria	5	5	5
Bacteria	Unassigned	Actinobacteria	46	50	51
Bacteria	Unassigned	Bacteroidetes	5	9	3
Bacteria	Unassigned	Balneolaeota	1	1	1
Bacteria	Unassigned	Candidatus_Moranbacteria	1	0	0
Bacteria	Unassigned	Candidatus_Pacebacteria	1	0	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	1	0	2
Bacteria	Unassigned	Chlamydiae	3	2	4
Bacteria	Unassigned	Chlorobi	2	0	1
Bacteria	Unassigned	Chloroflexi	8	7	6
Bacteria	Unassigned	Cyanobacteria	2	3	3
Bacteria	Unassigned	Firmicutes	9	9	3
Bacteria	Unassigned	Nitrospirae	0	1	0
Bacteria	Unassigned	Planctomycetes	10	9	6
Bacteria	Unassigned	Proteobacteria	55	71	68
Bacteria	Unassigned	Unassigned	25	33	15
Bacteria	Unassigned	Verrucomicrobia	6	7	7
Eukaryota	Fungi	Ascomycota	2	3	3
Eukaryota	Fungi	Unassigned	1	1	1
Eukaryota	Metazoa	Arthropoda	1	1	1
Eukaryota	Unassigned	Euglenozoa	0	1	0
Eukaryota	Unassigned	Perkinsozoa	1	2	1
Eukaryota	Unassigned	Unassigned	0	4	1
Eukaryota	Viridiplantae	Chlorophyta	4	3	0
Unassigned	Unassigned	Unassigned	19	18	13
