kingdom	phylum	ERR911201	ERR911202	ERR911203	ERR911204	ERR911205	ERR911206	ERR911207	ERR911208	ERR911209	ERR911210	ERR911211	ERR911212	ERR911213	ERR911214	ERR911215	ERR911216	ERR911217	ERR911218	ERR911219	ERR911220	ERR911221	ERR911222	ERR911223	ERR911224	ERR911225	ERR911226	ERR911227	ERR911228	ERR911229	ERR911230	ERR911231	ERR911232	ERR911233	ERR911234	ERR911235	ERR911236	ERR911237	ERR911238	ERR911239	ERR911240	ERR911241	ERR911242	ERR911243	ERR911244	ERR911245	ERR911246	ERR911247	ERR911248	ERR911249	ERR911250	ERR911251	ERR911252	ERR911253	ERR911254	ERR911255	ERR911256	ERR911257	ERR911258	ERR911259	ERR911260	ERR911261	ERR911262	ERR911263	ERR911264	ERR911265	ERR911266	ERR911267	ERR911268	ERR911269	ERR911270	ERR911271	ERR911272	ERR911273	ERR911274	ERR911275	ERR911276	ERR911277	ERR911278	ERR911279	ERR911280	ERR911281	ERR911282	ERR911283	ERR911284	ERR911285	ERR911286	ERR911287	ERR911288	ERR911289	ERR911290	ERR911291	ERR911292	ERR911293	ERR911294	ERR911295	ERR911296	ERR911297	ERR911298	ERR911299	ERR911300	ERR911301	ERR911302	ERR911303	ERR911304	ERR911305	ERR911306	ERR911307	ERR911308	ERR911309	ERR911310	ERR911311	ERR911312	ERR911313	ERR911314	ERR911315	ERR911316	ERR911317	ERR911318	ERR911319	ERR911320	ERR911321	ERR911322	ERR911323	ERR911324	ERR911325	ERR911326	ERR911327	ERR911328	ERR911329	ERR911330	ERR911331	ERR911332	ERR911333	ERR911334	ERR911335	ERR911336	ERR911337	ERR911338	ERR911339	ERR911340	ERR911341	ERR911342	ERR911343	ERR911344	ERR911345	ERR911346	ERR911347	ERR911348	ERR911349	ERR911350	ERR911351	ERR911352	ERR911353	ERR911354	ERR911355	ERR911356	ERR911357	ERR911358	ERR911359	ERR911360	ERR911361	ERR911362	ERR911363	ERR911364	ERR911365	ERR911366	ERR911367	ERR911368	ERR911369	ERR911370	ERR911371	ERR911372	ERR911373	ERR911374	ERR911375	ERR911376	ERR911377	ERR911378	ERR911379	ERR911380	ERR911381	ERR911382	ERR911383
Archaea	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	3	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thaumarchaeota	1	7	4	2	3	1	2	9	0	0	0	0	0	0	0	0	2	1	5	1	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	1	1	0	1	0	0	0	0	0	2	2	7	0	0	1	2	0	0	0	1	0	0	0	0	2	1	1	0	0	1	0	3	1	2	1	0	1	0	4	1	0	5	0	0	0	0	0	0	0	0	4	0	1	3	0	2	0	12	0	0	0	0	0	0	0	0	2	1	1	0	0	2	3	3	0	0	2	1	0	0	0	0	2	2	2	1	4	0	4	4	0	0	0	8	8	0	1	3	0	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Acidobacteria	122	161	46	126	80	33	65	158	164	70	126	70	63	97	41	85	122	78	119	125	98	136	174	56	95	43	132	157	40	62	52	84	162	82	152	223	55	68	62	155	70	66	60	192	64	58	64	113	100	94	127	6	38	51	43	59	68	77	152	114	57	46	66	97	104	114	195	215	54	74	83	143	36	82	82	125	80	67	131	85	158	46	119	57	69	108	29	157	160	187	158	70	89	67	701	62	271	272	187	38	236	130	91	101	241	318	94	104	322	90	121	127	207	260	74	68	156	77	94	75	245	232	134	266	359	234	114	144	453	190	44	94	121	83	80	165	152	246	37	102	61	315	170	70	184	241	41	64	73	260	268	146	102	178	61	82	61	258	249	159	158	121	99	151	101	203	172	148	114	91	147	61	116	186	203	114	109	80	198	199	155	213	359
Bacteria	Actinobacteria	497	269	205	439	454	89	72	240	163	265	133	76	133	60	75	122	417	93	179	327	199	283	427	76	59	117	90	115	78	55	43	110	164	89	87	153	71	37	66	119	59	75	73	138	46	45	75	87	129	210	216	30	51	81	40	83	91	96	221	286	72	56	74	67	70	74	144	154	40	70	55	104	47	43	81	97	51	43	124	58	211	85	139	105	87	114	26	231	215	241	186	91	79	92	624	144	158	175	87	202	500	57	90	42	114	324	42	50	142	61	72	96	110	147	25	32	125	57	52	59	174	186	149	98	202	135	89	60	299	154	90	171	190	96	109	201	126	195	128	175	137	473	228	67	96	129	21	46	103	213	156	87	143	109	147	132	97	375	463	204	194	238	144	246	126	212	172	252	143	128	110	121	90	464	309	147	124	147	245	170	133	213	112
Bacteria	Armatimonadetes	5	1	0	2	1	0	4	3	1	2	0	2	0	4	1	2	1	1	5	6	9	8	1	4	3	0	1	0	0	1	1	0	3	2	0	10	4	0	1	3	2	4	3	6	1	2	0	2	1	6	3	0	0	4	4	2	3	0	2	4	0	6	3	0	2	3	1	6	0	3	4	2	0	3	1	6	2	4	3	0	3	3	3	0	5	2	2	1	4	11	5	1	2	2	18	5	12	2	2	4	3	0	0	1	3	7	1	2	6	3	0	2	7	5	0	0	7	1	0	3	5	1	7	4	5	4	2	4	18	7	1	0	7	1	0	6	4	10	1	3	0	11	5	0	2	4	0	0	2	4	7	3	14	5	5	11	3	29	17	2	5	5	2	2	4	6	1	2	4	2	1	2	2	2	1	7	7	4	13	1	13	8	5
Bacteria	Bacteroidetes	14	29	35	15	8	5	7	10	15	18	1	19	2	6	15	3	61	15	34	25	33	35	49	11	27	5	18	20	3	1	15	6	64	17	23	35	18	6	15	47	20	21	13	15	5	12	12	12	17	32	28	3	26	11	13	16	12	11	10	21	13	4	7	10	15	13	13	24	6	3	14	28	7	10	16	7	6	2	44	7	6	8	8	12	21	10	3	22	18	21	16	16	6	6	46	89	38	47	17	36	14	11	12	4	12	27	28	13	41	31	14	9	24	28	5	13	29	5	7	7	19	29	16	7	23	14	10	8	122	22	9	12	19	4	7	11	32	19	56	30	25	42	51	36	24	50	17	9	14	57	43	34	13	39	48	22	18	165	68	14	22	23	17	51	11	27	11	44	108	38	17	8	4	36	9	42	28	32	47	18	37	17	49
Bacteria	Candidatus_Adlerbacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	1	2	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	2	3	0	2	1	0	0	0	1	2	0	0	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	3	3	2	1	2	0	0	0	0	1	1	1	0	2	0	2	0	2	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	2	4
Bacteria	Candidatus_Azambacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
