kingdom	phylum	ERR3265063	ERR3265064	ERR3265065	ERR3265066	ERR3265067	ERR3265068	ERR3265069	ERR3265070	ERR3265071	ERR3265072	ERR3265073	ERR3265074	ERR3265075	ERR3265076	ERR3265077	ERR3265078	ERR3265079	ERR3265080	ERR3265081	ERR3265082	ERR3265083	ERR3265084	ERR3265085	ERR3265086	ERR3265087	ERR3265088	ERR3265089	ERR3265090	ERR3265091	ERR3265092	ERR3265093	ERR3265094	ERR3265095	ERR3265096	ERR3265097	ERR3265098	ERR3265099	ERR3265100	ERR3265101	ERR3265102	ERR3323781	ERR3323782	ERR3323783	ERR3323784
Archaea	Euryarchaeota	1	0	1	5	12	4	1	2	12	11	8	16	18	1	1	11	5	3	14	8	6	2	1	3	0	2	2	3	1	2	0	6	0	0	0	0	0	0	0	0	0	9	3	2
Archaea	Thaumarchaeota	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
Archaea	Unassigned	0	0	0	0	0	0	0	0	0	2	3	7	3	1	3	1	7	0	3	1	2	5	1	0	0	3	0	1	0	1	0	5	0	0	0	0	0	0	0	0	1	2	3	0
Bacteria	Acidobacteria	4734	6374	8721	13578	13127	5472	7890	10272	29675	26932	9772	12548	21556	6420	9130	9443	8086	4616	13465	5353	22259	4870	7758	4020	5318	6588	8178	4849	21192	4636	5564	13218	0	0	0	0	0	0	0	1	3639	19829	9176	9639
Bacteria	Actinobacteria	11263	13822	9915	18491	17003	9875	8987	12994	43379	41739	26793	30176	42742	14008	14927	18278	17880	9528	23716	8454	40231	8808	11614	7066	8296	9394	15933	7028	30250	7710	12968	23588	0	0	0	2	0	1	0	0	6159	26610	23507	17845
Bacteria	Aquificae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Armatimonadetes	90	66	65	108	191	80	53	105	422	429	90	257	454	92	107	148	217	87	271	84	214	61	99	52	41	78	131	58	119	34	49	216	0	0	0	0	0	0	0	0	52	117	114	67
Bacteria	Bacteroidetes	967	956	1142	1994	1859	1023	885	2771	5991	4262	3631	5455	6192	1822	2070	2369	5994	1495	3125	1207	5092	1449	1382	834	1344	1258	2743	630	4202	778	1654	2119	4	24	6	1	2	4	2	3	631	2495	2693	2600
Bacteria	Calditrichaeota	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria	Candidatus_Abawacabacteria	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria	Candidatus_Adlerbacteria	15	6	40	30	34	10	36	24	83	40	24	38	44	13	7	25	65	7	26	18	27	12	28	12	34	18	26	9	91	16	33	30	0	0	0	0	0	0	0	0	7	9	29	73
Bacteria	Candidatus_Aminicenantes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Candidatus_Azambacteria	0	3	4	4	3	6	1	4	9	10	2	3	3	1	0	0	4	0	3	0	9	2	2	1	7	5	2	1	5	1	2	1	0	0	0	0	0	0	0	0	0	2	6	3
Bacteria	Candidatus_Berkelbacteria	0	0	0	0	0	0	0	0	2	1	1	0	0	0	3	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1
Bacteria	Candidatus_Blackburnbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Campbellbacteria	0	0	0	3	0	1	0	1	1	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria	Candidatus_Colwellbacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Doudnabacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Falkowbacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Giovannonibacteria	0	0	1	1	0	0	0	2	0	0	1	2	0	0	0	0	2	0	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Harrisonbacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Jorgensenbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Kaiserbacteria	4	6	4	10	10	1	4	9	30	10	23	10	19	8	9	6	16	2	5	1	24	9	12	4	7	11	14	8	13	11	8	10	0	0	0	0	0	0	0	0	1	10	12	11
Bacteria	Candidatus_Kerfeldbacteria	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Kuenenbacteria	0	0	1	2	0	0	1	1	4	2	1	1	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	1	0
Bacteria	Candidatus_Latescibacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Levybacteria	0	3	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Liptonbacteria	2	2	1	16	0	1	0	2	8	10	3	5	2	2	4	2	1	2	7	1	13	6	3	0	7	9	0	1	2	9	0	2	0	0	0	0	0	0	0	0	0	9	4	3
Bacteria	Candidatus_Lloydbacteria	0	0	0	0	0	0	0	1	2	7	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
