kingdom	phylum	ERR3430492	ERR3430493	ERR3430494	ERR3430495	ERR3430496	ERR3430497	ERR3430498	ERR3430499	ERR3430500	ERR3430501	ERR3430502	ERR3430503	ERR3430504	ERR3430505	ERR3430506	ERR3430507	ERR3430508	ERR3430509	ERR3430510	ERR3430511
Archaea	Crenarchaeota	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	9	4	5	4	1	10	3	8	7	4	5	0	0	0	4	2	0	9	11	2
Archaea	Thaumarchaeota	423	356	705	72	67	95	19	73	121	85	157	57	34	76	168	141	46	21	40	23
Archaea	Unassigned	6	4	8	2	1	3	0	1	0	2	2	1	0	1	3	2	1	0	1	0
Bacteria	Acidobacteria	11250	8241	13996	4027	4857	5594	1925	5159	5272	2921	5471	3081	2673	4258	8207	5201	2777	1983	3807	1779
Bacteria	Actinobacteria	2448	1876	3316	1219	2066	2326	870	2100	2512	1656	2086	1266	1236	2284	3843	2659	913	866	1134	545
Bacteria	Aquificae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Armatimonadetes	723	459	1045	275	275	363	144	269	290	183	164	56	66	127	285	226	87	141	153	94
Bacteria	Bacteroidetes	2035	1252	2582	307	466	770	227	605	510	486	793	381	396	638	1151	335	235	199	225	97
Bacteria	Calditrichaeota	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0
Bacteria	Candidatus_Abawacabacteria	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Adlerbacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0
Bacteria	Candidatus_Atribacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Candidatus_Azambacteria	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Curtissbacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Kaiserbacteria	3	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	3	5
Bacteria	Candidatus_Latescibacteria	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Magasanikbacteria	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Bacteria	Candidatus_Omnitrophica	5	1	2	2	4	1	1	0	0	0	4	1	1	3	4	5	2	5	3	0
Bacteria	Candidatus_Peregrinibacteria	0	0	2	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
Bacteria	Candidatus_Saccharibacteria	36	13	26	2	8	1	0	2	5	2	3	2	1	0	2	0	1	0	1	0
Bacteria	Candidatus_Schekmanbacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Tectomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Candidatus_Vogelbacteria	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Woykebacteria	1	7	4	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0
Bacteria	Chlamydiae	0	1	0	2	0	2	1	0	0	1	1	0	0	1	2	0	2	0	2	3
Bacteria	Chloroflexi	7681	4729	8187	2614	3045	2949	917	2597	2954	1903	2668	1541	1402	2204	4422	2764	1177	906	1540	831
Bacteria	Cyanobacteria	50	35	95	10	18	18	0	7	19	4	13	6	3	6	8	14	10	17	1	8
Bacteria	Deinococcus-Thermus	3	2	8	1	4	3	0	0	0	3	0	0	1	3	2	6	0	0	0	0
Bacteria	Elusimicrobia	26	15	47	4	10	2	2	0	2	6	1	2	0	0	3	3	0	1	10	0
Bacteria	Fibrobacteres	3	3	14	5	6	1	0	0	0	1	2	0	0	6	5	0	0	0	0	0
Bacteria	Firmicutes	388	260	546	94	86	99	52	319	304	136	173	81	116	95	182	352	77	31	47	14
Bacteria	Gemmatimonadetes	804	708	891	417	616	679	191	414	499	339	263	166	145	223	492	385	178	205	264	102
Bacteria	Ignavibacteriae	17	7	67	5	15	6	1	1	7	1	3	4	1	0	2	1	5	1	0	0
Bacteria	Kiritimatiellaeota	11	2	4	2	1	2	0	1	3	1	2	0	4	1	4	1	0	1	2	0
Bacteria	Lentisphaerae	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Nitrospinae	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	0	0	0
Bacteria	Nitrospirae	17	8	39	5	14	8	3	4	8	5	18	11	14	6	28	14	9	4	9	5
Bacteria	Planctomycetes	5343	3697	5531	1667	2413	2863	913	2361	2742	1854	2063	970	894	1719	3706	2196	890	637	1153	566
Bacteria	Proteobacteria	4347	2550	5386	1515	2207	2339	789	1639	1782	1389	1728	1082	1138	2118	3196	1669	753	709	801	438
Bacteria	Spirochaetes	6	0	3	0	0	0	0	1	2	0	1	0	1	0	1	0	0	0	3	0
Bacteria	Synergistetes	0	1	2	1	3	3	0	1	0	0	2	1	3	0	0	0	0	0	2	1
Bacteria	Tenericutes	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	2824	1454	2779	637	786	813	249	905	879	510	794	531	375	656	1293	765	463	360	624	271
Bacteria	Verrucomicrobia	7617	5591	7905	1820	2653	3314	1045	2946	3170	2156	2964	1457	1338	2193	3946	2101	1008	784	1291	679
Bacteria	candidate_division_KD3-62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	candidate_division_NC10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	candidate_division_WWE3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Chloroplast	Unassigned	30	42	90	4	32	22	6	5	12	11	4	2	1	6	6	7	7	0	0	1
Eukaryota	Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota	Unassigned	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitochondria	Unassigned	39	9	33	2	7	23	3	2	6	1	7	8	2	7	2	7	0	5	4	2
Unassigned	Unassigned	1	2	0	0	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0
