kingdom	phylum	ERR3430512	ERR3430513	ERR3430514	ERR3430515	ERR3430516	ERR3430517	ERR3430518	ERR3430519	ERR3430520	ERR3430521	ERR3430522	ERR3430523	ERR3430524	ERR3430525	ERR3430526	ERR3430527	ERR3430528	ERR3430530	ERR3430531
Archaea	Euryarchaeota	9	5	12	8	14	2	1	0	7	7	0	0	0	7	13	3	11	6	12
Archaea	Thaumarchaeota	185	223	53	48	52	70	60	42	47	39	80	121	20	99	57	70	143	96	105
Archaea	Unassigned	2	4	2	0	0	4	0	0	0	0	1	2	0	0	2	1	1	1	3
Bacteria	Acidobacteria	9865	9143	4690	4941	4523	4950	4049	2185	3143	3213	4586	6641	2819	6835	4928	4693	5306	4855	5036
Bacteria	Actinobacteria	2746	3066	1063	1614	1369	1154	1398	942	1197	1071	1296	1867	789	2040	1359	1364	1838	1461	1063
Bacteria	Aquificae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Armatimonadetes	373	357	143	251	178	217	209	97	142	147	80	134	104	227	177	109	156	160	142
Bacteria	Bacteroidetes	1043	873	403	447	421	337	411	2262	336	232	554	854	279	601	616	305	312	347	297
Bacteria	Balneolaeota	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Calditrichaeota	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Adlerbacteria	2	1	1	1	0	0	0	4	0	1	0	0	0	0	0	2	0	0	0
Bacteria	Candidatus_Atribacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Azambacteria	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1
Bacteria	Candidatus_Berkelbacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Candidatus_Campbellbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Candidatus_Kaiserbacteria	0	0	0	3	4	2	3	1	0	1	0	0	2	1	0	0	0	2	6
Bacteria	Candidatus_Kuenenbacteria	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1
Bacteria	Candidatus_Latescibacteria	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
Bacteria	Candidatus_Magasanikbacteria	0	3	0	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	3
Bacteria	Candidatus_Nomurabacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Candidatus_Omnitrophica	0	8	2	8	3	0	2	4	3	0	2	0	0	2	5	3	5	3	3
Bacteria	Candidatus_Parcubacteria	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	0	0	0
Bacteria	Candidatus_Peregrinibacteria	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Bacteria	Candidatus_Saccharibacteria	0	10	0	4	2	0	1	1	0	0	2	6	2	10	9	0	0	0	1
Bacteria	Candidatus_Schekmanbacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Bacteria	Candidatus_Tectomicrobia	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Uhrbacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0
Bacteria	Candidatus_Vogelbacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
