kingdom	phylum	ERR3430403	ERR3430404	ERR3430405	ERR3430406	ERR3430407	ERR3430408	ERR3430409	ERR3430410	ERR3430411	ERR3430412	ERR3430413	ERR3430414
Archaea	Crenarchaeota	0	0	0	0	2	0	0	0	0	0	0	1
Archaea	Euryarchaeota	25	34	10	6	4	15	47	45	62	42	16	14
Archaea	Thaumarchaeota	215	367	336	452	216	610	305	305	461	210	321	183
Archaea	Unassigned	4	7	5	7	3	3	7	6	6	9	4	4
Bacteria	Acidobacteria	7117	11597	6776	11466	7867	13732	10819	11395	13790	10097	11803	7345
Bacteria	Actinobacteria	375	853	1169	1438	345	701	1008	849	1227	1015	1345	601
Bacteria	Aquificae	1	0	0	0	0	0	1	2	0	0	0	0
Bacteria	Armatimonadetes	326	374	256	473	216	569	425	482	573	442	517	317
Bacteria	Bacteroidetes	426	879	568	829	591	1158	882	633	870	747	1129	762
Bacteria	Calditrichaeota	0	0	0	2	0	1	0	0	0	1	0	0
Bacteria	Candidatus_Adlerbacteria	3	7	2	10	0	4	13	0	0	0	2	8
Bacteria	Candidatus_Atribacteria	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Candidatus_Azambacteria	1	7	2	3	11	13	4	0	1	0	3	2
Bacteria	Candidatus_Kaiserbacteria	2	14	2	8	2	15	1	7	3	0	3	4
Bacteria	Candidatus_Kuenenbacteria	0	4	0	0	0	0	0	0	1	0	0	0
Bacteria	Candidatus_Latescibacteria	1	0	1	1	0	0	0	0	1	1	0	0
Bacteria	Candidatus_Magasanikbacteria	0	0	1	0	0	0	0	0	0	0	3	1
Bacteria	Candidatus_Moranbacteria	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Nomurabacteria	0	0	1	0	0	1	0	0	0	0	3	0
Bacteria	Candidatus_Omnitrophica	3	42	22	17	12	42	37	16	27	24	24	21
Bacteria	Candidatus_Parcubacteria	4	1	2	1	0	0	3	1	0	0	3	4
Bacteria	Candidatus_Peregrinibacteria	1	0	1	3	2	2	0	0	7	1	0	1
Bacteria	Candidatus_Saccharibacteria	1	10	11	7	171	4	14	15	5	8	10	3
Bacteria	Candidatus_Schekmanbacteria	1	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Candidatus_Tectomicrobia	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Candidatus_Uhrbacteria	0	2	0	1	0	9	0	0	0	2	0	1
Bacteria	Candidatus_Vogelbacteria	0	0	0	1	0	0	0	0	0	0	0	2
Bacteria	Candidatus_Woesebacteria	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria	Candidatus_Woykebacteria	0	5	0	6	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Yonathbacteria	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria	Chlamydiae	1	0	10	5	0	4	5	0	2	0	10	4
Bacteria	Chloroflexi	1705	3140	3315	4779	1561	2921	3225	2851	3791	3513	4148	2356
Bacteria	Cyanobacteria	22	19	31	51	31	51	49	21	15	42	42	34
Bacteria	Deinococcus-Thermus	2	8	10	20	4	0	5	6	5	20	0	1
Bacteria	Elusimicrobia	1	28	12	27	12	42	24	21	15	15	20	14
Bacteria	Fibrobacteres	2	0	4	12	3	11	6	1	2	209	38	2
Bacteria	Firmicutes	75	117	107	141	55	102	142	60	126	127	276	92
Bacteria	Gemmatimonadetes	448	808	498	686	387	601	895	740	1179	757	892	498
Bacteria	Ignavibacteriae	3	16	3	6	0	15	8	8	17	19	2	10
Bacteria	Kiritimatiellaeota	0	6	2	6	1	5	5	4	3	1	4	1
Bacteria	Lentisphaerae	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria	Nitrospinae	0	1	0	1	0	0	1	0	1	1	1	1
Bacteria	Nitrospirae	42	78	88	54	54	135	46	54	66	49	86	70
Bacteria	Planctomycetes	1977	3255	2573	4342	1890	3675	3614	3160	4717	3342	3974	2753
Bacteria	Proteobacteria	1948	4249	3449	4873	2672	4479	4009	3761	4742	3869	5685	3867
Bacteria	Spirochaetes	1	0	5	3	0	0	3	3	2	0	9	2
Bacteria	Synergistetes	1	5	1	8	1	2	3	3	5	1	1	0
Bacteria	Tenericutes	0	0	0	0	1	3	0	1	0	0	0	0
Bacteria	Thermotogae	0	0	0	1	0	0	1	0	0	1	0	1
Bacteria	Unassigned	1243	2292	2142	3583	1398	3000	1956	2370	2842	2085	3066	1711
Bacteria	Verrucomicrobia	4255	4515	3401	6386	3010	6744	4522	4454	5378	4137	5605	3465
Bacteria	candidate_division_NC10	0	0	1	0	0	1	1	0	0	0	0	0
Bacteria	candidate_division_WWE3	1	1	0	0	0	0	0	0	2	0	1	0
Bacteria	candidate_division_Zixibacteria	0	0	0	0	0	0	0	0	0	0	1	0
Chloroplast	Unassigned	5	1	3	6	1	3	1	1	5	1	3	0
Mitochondria	Unassigned	8	10	4	3	2	14	2	7	4	10	1	2
Unassigned	Unassigned	2	0	0	0	0	1	0	0	0	0	0	0
