superkingdom	kingdom	phylum	ERZ2606005_FASTA
Archaea	Unassigned	Thaumarchaeota	1
Bacteria	Unassigned	Acidobacteria	21
Bacteria	Unassigned	Actinobacteria	5
Bacteria	Unassigned	Armatimonadetes	1
Bacteria	Unassigned	Bacteroidetes	4
Bacteria	Unassigned	Candidatus_Levybacteria	2
Bacteria	Unassigned	Candidatus_Saccharibacteria	1
Bacteria	Unassigned	Chlamydiae	3
Bacteria	Unassigned	Chloroflexi	3
Bacteria	Unassigned	Firmicutes	1
Bacteria	Unassigned	Gemmatimonadetes	2
Bacteria	Unassigned	Planctomycetes	14
Bacteria	Unassigned	Proteobacteria	38
Bacteria	Unassigned	Unassigned	8
Bacteria	Unassigned	Verrucomicrobia	4
Unassigned	Unassigned	Unassigned	21
