superkingdom	kingdom	phylum	ERR8527691_MERGED_FASTQ	ERR8527690_MERGED_FASTQ	ERR8527689_MERGED_FASTQ	ERR8527688_MERGED_FASTQ	ERR8527687_MERGED_FASTQ	ERR8527686_MERGED_FASTQ	ERR8527685_MERGED_FASTQ	ERR8527684_MERGED_FASTQ	ERR8527683_MERGED_FASTQ	ERR8527682_MERGED_FASTQ	ERR8527681_MERGED_FASTQ	ERR8527680_MERGED_FASTQ	ERR8527679_MERGED_FASTQ	ERR8527678_MERGED_FASTQ	ERR8527677_MERGED_FASTQ	ERR8527676_MERGED_FASTQ	ERR8527675_MERGED_FASTQ	ERR8527674_MERGED_FASTQ	ERR8527673_MERGED_FASTQ	ERR8527672_MERGED_FASTQ	ERR8527671_MERGED_FASTQ	ERR8527670_MERGED_FASTQ	ERR8527669_MERGED_FASTQ	ERR8527668_MERGED_FASTQ	ERR8527667_MERGED_FASTQ	ERR8527666_MERGED_FASTQ	ERR8527665_MERGED_FASTQ	ERR8527664_MERGED_FASTQ	ERR8527663_MERGED_FASTQ
Archaea	Unassigned	Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Euryarchaeota	0	6	0	0	0	0	3	0	1	1	3	0	39	0	13	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Thaumarchaeota	0	4	0	2	0	0	3	0	0	0	8	0	2	0	2	0	1	0	2	0	0	0	0	0	0	0	1	0	3
Archaea	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	1	16	5	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	17834	30276	21862	10633	16016	14152	17461	20930	20083	16769	9431	25079	26045	9747	13431	8749	8821	7521	27537	23612	10	14000	3370	3938	4641	4	18640	12202	12755
Bacteria	Unassigned	Actinobacteria	5113	7628	3739	2401	2444	10237	11531	18509	13563	15256	14996	27331	17677	9003	21749	9417	35128	8196	31184	36161	14	45865	10223	23129	12750	5	17937	11407	10981
Bacteria	Unassigned	Armatimonadetes	595	580	728	388	272	148	86	84	183	100	171	578	543	257	270	51	78	28	335	312	0	376	62	112	170	0	60	31	31
Bacteria	Unassigned	Bacteroidetes	4231	2023	1490	313	1041	450	224	395	640	447	277	7483	778	1470	423	428	486	460	1781	1024	0	4938	374	7233	354	0	109	80	111
Bacteria	Unassigned	Calditrichaeota	0	0	0	0	0	0	1	0	0	0	0	12	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Abawacabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Adlerbacteria	0	57	0	6	6	7	1	3	4	1	21	19	43	1	41	2	0	4	11	5	0	0	1	0	0	0	7	5	1
Bacteria	Unassigned	Candidatus_Azambacteria	0	3	0	0	5	4	1	0	0	0	1	87	14	7	2	0	0	5	3	2	0	3	0	0	0	0	0	0	4
Bacteria	Unassigned	Candidatus_Berkelbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Campbellbacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Colwellbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Dadabacteria	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0	11	0	5	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	0	5	0	1	4	1	0	2	0	0	3	1	13	0	10	1	0	1	2	2	0	0	1	2	3	0	0	3	1
Bacteria	Unassigned	Candidatus_Giovannonibacteria	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Hydrogenedentes	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Jorgensenbacteria	0	0	0	0	0	0	0	0	0	0	3	8	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	12	0	0	2	0	0	0	1	1	4	34	15	8	9	5	2	7	0	11	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Komeilibacteria	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Kuenenbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
