superkingdom	kingdom	phylum	ERR3697776_MERGED_FASTQ	ERR3697775_MERGED_FASTQ	ERR3697769_MERGED_FASTQ	ERR3697764_MERGED_FASTQ	ERR3697760_MERGED_FASTQ	ERR3697758_MERGED_FASTQ	ERR3697757_MERGED_FASTQ	ERR3697756_MERGED_FASTQ	ERR3697755_MERGED_FASTQ	ERR3697754_MERGED_FASTQ	ERR3697753_MERGED_FASTQ	ERR3697752_MERGED_FASTQ	ERR3697748_MERGED_FASTQ	ERR3697746_MERGED_FASTQ	ERR3697743_MERGED_FASTQ	ERR3697742_MERGED_FASTQ	ERR3697738_MERGED_FASTQ	ERR3697737_MERGED_FASTQ	ERR3697736_MERGED_FASTQ	ERR3697733_MERGED_FASTQ	ERR3697732_MERGED_FASTQ	ERR3697728_MERGED_FASTQ	ERR3697727_MERGED_FASTQ	ERR3697720_MERGED_FASTQ	ERR3697718_MERGED_FASTQ	ERR3697713_MERGED_FASTQ	ERR3697712_MERGED_FASTQ	ERR3697698_MERGED_FASTQ	ERR3697694_MERGED_FASTQ	ERR3697692_MERGED_FASTQ	ERR3697792_MERGED_FASTQ	ERR3697790_MERGED_FASTQ	ERR3697782_MERGED_FASTQ	ERR3697789_MERGED_FASTQ	ERR3697780_MERGED_FASTQ	ERR3697779_MERGED_FASTQ	ERR3697778_MERGED_FASTQ	ERR3697772_MERGED_FASTQ	ERR3697771_MERGED_FASTQ	ERR3697770_MERGED_FASTQ	ERR3697768_MERGED_FASTQ	ERR3697767_MERGED_FASTQ	ERR3697766_MERGED_FASTQ	ERR3697765_MERGED_FASTQ	ERR3697763_MERGED_FASTQ	ERR3697762_MERGED_FASTQ	ERR3697761_MERGED_FASTQ	ERR3697759_MERGED_FASTQ	ERR3697751_MERGED_FASTQ	ERR3697750_MERGED_FASTQ	ERR3697747_MERGED_FASTQ	ERR3697745_MERGED_FASTQ	ERR3697744_MERGED_FASTQ	ERR3697741_MERGED_FASTQ	ERR3697740_MERGED_FASTQ	ERR3697739_MERGED_FASTQ	ERR3697735_MERGED_FASTQ	ERR3697734_MERGED_FASTQ	ERR3697731_MERGED_FASTQ	ERR3697730_MERGED_FASTQ	ERR3697729_MERGED_FASTQ	ERR3697726_MERGED_FASTQ	ERR3697725_MERGED_FASTQ	ERR3697724_MERGED_FASTQ	ERR3697723_MERGED_FASTQ	ERR3697722_MERGED_FASTQ	ERR3697721_MERGED_FASTQ	ERR3697719_MERGED_FASTQ	ERR3697717_MERGED_FASTQ	ERR3697716_MERGED_FASTQ	ERR3697715_MERGED_FASTQ	ERR3697714_MERGED_FASTQ	ERR3697711_MERGED_FASTQ	ERR3697710_MERGED_FASTQ	ERR3697709_MERGED_FASTQ	ERR3697708_MERGED_FASTQ	ERR3697707_MERGED_FASTQ	ERR3697706_MERGED_FASTQ	ERR3697705_MERGED_FASTQ	ERR3697704_MERGED_FASTQ	ERR3697703_MERGED_FASTQ	ERR3697702_MERGED_FASTQ	ERR3697696_MERGED_FASTQ	ERR3697695_MERGED_FASTQ	ERR3697693_MERGED_FASTQ	ERR3697690_MERGED_FASTQ	ERR3697688_MERGED_FASTQ	ERR3697686_MERGED_FASTQ	ERR3697678_MERGED_FASTQ	ERR3697677_MERGED_FASTQ	ERR3697675_MERGED_FASTQ	ERR3697666_MERGED_FASTQ	ERR3697663_MERGED_FASTQ	ERR3697658_MERGED_FASTQ	ERR3697701_MERGED_FASTQ	ERR3697700_MERGED_FASTQ	ERR3697699_MERGED_FASTQ	ERR3697697_MERGED_FASTQ	ERR3697691_MERGED_FASTQ	ERR3697689_MERGED_FASTQ	ERR3697687_MERGED_FASTQ	ERR3697685_MERGED_FASTQ	ERR3697684_MERGED_FASTQ	ERR3697683_MERGED_FASTQ	ERR3697682_MERGED_FASTQ	ERR3697681_MERGED_FASTQ	ERR3697680_MERGED_FASTQ	ERR3697679_MERGED_FASTQ	ERR3697676_MERGED_FASTQ	ERR3697674_MERGED_FASTQ	ERR3697673_MERGED_FASTQ	ERR3697672_MERGED_FASTQ	ERR3697671_MERGED_FASTQ	ERR3697670_MERGED_FASTQ	ERR3697669_MERGED_FASTQ	ERR3697668_MERGED_FASTQ	ERR3697667_MERGED_FASTQ	ERR3697665_MERGED_FASTQ	ERR3697664_MERGED_FASTQ	ERR3697662_MERGED_FASTQ	ERR3697661_MERGED_FASTQ	ERR3697660_MERGED_FASTQ	ERR3697659_MERGED_FASTQ	ERR3697657_MERGED_FASTQ	ERR3697656_MERGED_FASTQ	ERR3697655_MERGED_FASTQ	ERR3697654_MERGED_FASTQ	ERR3697653_MERGED_FASTQ	ERR3697652_MERGED_FASTQ	ERR3697777_MERGED_FASTQ	ERR3697781_MERGED_FASTQ	ERR3697783_MERGED_FASTQ	ERR3697784_MERGED_FASTQ	ERR3697785_MERGED_FASTQ	ERR3697786_MERGED_FASTQ	ERR3697787_MERGED_FASTQ	ERR3697788_MERGED_FASTQ	ERR3697791_MERGED_FASTQ	ERR3697774_MERGED_FASTQ	ERR3697773_MERGED_FASTQ
Archaea	Unassigned	Candidatus_Woesearchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Euryarchaeota	0	1	3	106	1	94	0	0	1	0	29	11	0	18	0	0	0	0	0	0	0	1	2	0	0	3	0	7	0	17	0	0	0	3	9	2	2	0	1	0	12	4	6	138	0	0	7	92	0	3	0	0	0	35	43	2	0	0	1	19	0	3	2	0	5	0	0	0	0	8	0	0	0	0	5	7	1	0	46	8	0	1	8	0	0	4	17	4	0	1	0	0	55	0	0	0	8	7	1	0	0	0	0	3	9	0	1	3	10	0	0	0	0	0	2	0	0	2	4	0	1	6	6	0	4	0	0	0	0	0	0	0	1	10	0	1	0	0	1	2
Archaea	Unassigned	Thaumarchaeota	6	5	4	0	3	0	0	2	1	2	3	3	1	0	7	3	0	9	5	1	0	2	2	3	3	0	0	2	0	3	1	11	6	5	0	0	3	0	0	1	1	2	6	1	1	0	0	3	0	0	0	4	2	1	2	1	2	0	1	3	1	4	5	2	1	2	6	1	5	1	3	1	0	0	1	2	7	0	0	13	1	1	10	1	1	2	3	5	3	3	2	0	2	3	1	1	1	0	3	0	1	3	2	3	13	8	5	5	4	1	1	0	0	1	2	2	3	3	1	0	2	2	2	0	1	0	1	0	3	10	0	3	1	0	7	5	3	5	5	1
Archaea	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	42780	66878	36974	31629	62234	48799	33799	62088	59991	62866	42446	30869	30140	45120	36064	31327	29983	49559	44115	37803	49858	34319	30039	28737	38607	9559	10334	31065	31459	38211	19002	52869	66075	39104	267	5156	29945	38335	34456	16981	35417	48340	42109	43338	52516	265	72620	57451	20741	7441	11946	56596	63414	29858	28597	27173	39457	34253	35252	36367	19599	33541	52555	52808	43591	46291	31325	9751	25683	12141	23479	10199	30927	29249	15342	15791	52926	46223	40432	48803	33507	34804	40980	30373	36646	49234	56918	19020	37446	38400	36921	24446	47117	25332	28625	37888	45005	24232	46231	144	6201	30850	41526	38350	40193	29638	36246	34890	39779	28583	31650	31834	34590	29204	32153	39457	29319	16612	32686	42755	35538	32111	15361	27199	34134	8250	32972	17938	25924	57026	5539	51544	26501	62942	88228	74639	72300	46978	59045	38667
Bacteria	Unassigned	Actinobacteria	168554	130320	140204	125122	143452	126051	112872	120930	131455	123905	140566	154962	142367	118194	111563	123394	92395	87111	86564	112308	83386	101387	109028	91744	104427	102150	99652	108844	100118	99351	127724	140947	121118	119661	18056	36715	109374	134078	145991	179533	121116	137613	93779	116387	159101	902	107167	121695	124434	167220	43485	130155	120581	101974	87055	111496	102555	92889	113263	120499	77311	114598	87403	91830	107890	100746	116545	35612	120977	94628	106285	90408	106227	120162	80166	66990	88369	64801	98692	75788	56589	55773	97283	125782	73172	85861	78542	87303	117469	123571	81843	117621	113435	98499	56429	118019	90802	93275	96228	673	49673	113058	94954	86296	88199	99809	97893	116377	103414	79979	127163	117181	107690	117846	122953	107093	103062	104441	121477	93387	117170	115179	53042	109339	86450	31526	101928	108864	102301	128616	171026	137802	178678	126348	137174	129708	139636	134453	111981	135664
Bacteria	Unassigned	Armatimonadetes	869	2058	1418	944	1591	1262	1539	2772	1550	1111	1651	959	241	1435	1227	972	144	1147	600	690	397	1111	1133	754	621	156	67	856	198	1084	397	667	1092	1966	11	144	1299	269	294	100	748	1412	1488	1160	1498	7	1929	1261	25	11	113	915	2936	674	692	97	294	115	871	1340	549	840	1271	2007	1039	1762	1888	121	105	7	242	108	570	517	21	8	2003	2137	2047	3569	1273	2369	1378	503	164	1122	2024	307	738	1057	387	156	1140	421	1484	257	1145	1030	681	3	20	857	1043	963	1342	768	1070	1153	538	691	156	148	220	91	808	268	368	631	725	293	713	897	587	371	639	57	907	237	201	1777	225	1958	351	1025	2319	1821	2529	629	2305	211
Bacteria	Unassigned	Bacteroidetes	14763	6282	13262	9736	14925	15412	4922	7755	13168	12771	12972	21445	15659	21478	9338	5134	19140	22996	20572	17503	22078	16871	16725	18355	17204	26905	34878	11213	10275	11638	19843	14482	15187	6472	7778	5740	2871	28194	8481	4637	17700	18067	7711	13468	15013	134	10121	21828	21104	23375	6193	17528	15757	12124	17173	22112	19167	28651	15239	11452	13789	18970	9876	8737	21727	17834	9121	4498	17613	41499	22247	34294	17544	21576	17349	33553	10778	8695	5842	5297	17357	15324	5704	7224	32741	7449	6082	19938	12277	12682	24078	13804	10862	18290	14086	17999	10584	7264	14234	118	28506	13782	10965	6784	5196	9494	11893	7036	24491	8471	24452	13894	19223	29280	8990	19751	12703	5576	14150	27628	9667	8904	3204	32386	17466	6714	4275	36474	23136	12215	21417	12517	36466	26973	15974	21482	12965	12380	11478	30014
Bacteria	Unassigned	Balneolaeota	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	2	48	53	0	0	3	0	8	1	0	0	0	1	2	0	1	2	1	0	1	0	0	3843	0	0	1	0	569	9108	0	1	11	0	2	4	0	0	2	0	0	143	0	0	0	0	0	0	14	1	3	1	1	2	13	2	2	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0
