superkingdom	kingdom	phylum	ERR2098577_MERGED_FASTQ	ERR2098437_MERGED_FASTQ	ERR2098500_MERGED_FASTQ	ERR2098439_MERGED_FASTQ	ERR2098450_MERGED_FASTQ	ERR2098443_MERGED_FASTQ	ERR2098525_MERGED_FASTQ	ERR2098583_MERGED_FASTQ	ERR2098602_MERGED_FASTQ	ERR2098563_MERGED_FASTQ	ERR2098430_MERGED_FASTQ	ERR2098621_MERGED_FASTQ	ERR2098533_MERGED_FASTQ	ERR2196988_MERGED_FASTQ	ERR2098620_MERGED_FASTQ	ERR2098587_MERGED_FASTQ	ERR2098608_MERGED_FASTQ	ERR2098506_MERGED_FASTQ	ERR2098498_MERGED_FASTQ	ERR2098433_MERGED_FASTQ	ERR2098416_MERGED_FASTQ	ERR2098570_MERGED_FASTQ	ERR2196994_MERGED_FASTQ	ERR2098581_MERGED_FASTQ	ERR2098448_MERGED_FASTQ	ERR2098619_MERGED_FASTQ	ERR2098592_MERGED_FASTQ	ERR2098509_MERGED_FASTQ	ERR2098518_MERGED_FASTQ	ERR2098564_MERGED_FASTQ	ERR2196989_MERGED_FASTQ	ERR2098451_MERGED_FASTQ	ERR2098493_MERGED_FASTQ	ERR2098480_MERGED_FASTQ	ERR2098605_MERGED_FASTQ	ERR2098572_MERGED_FASTQ	ERR2098484_MERGED_FASTQ	ERR2098560_MERGED_FASTQ	ERR2098521_MERGED_FASTQ	ERR2098615_MERGED_FASTQ	ERR2098595_MERGED_FASTQ	ERR2098456_MERGED_FASTQ	ERR2098519_MERGED_FASTQ	ERR2098505_MERGED_FASTQ	ERR2098617_MERGED_FASTQ	ERR2098550_MERGED_FASTQ	ERR2098458_MERGED_FASTQ	ERR2098586_MERGED_FASTQ	ERR2098492_MERGED_FASTQ	ERR2196990_MERGED_FASTQ	ERR2098417_MERGED_FASTQ	ERR2098489_MERGED_FASTQ	ERR2098504_MERGED_FASTQ	ERR2098429_MERGED_FASTQ	ERR2098528_MERGED_FASTQ	ERR2098461_MERGED_FASTQ	ERR2098516_MERGED_FASTQ	ERR2098421_MERGED_FASTQ	ERR2098558_MERGED_FASTQ	ERR2098423_MERGED_FASTQ	ERR2098478_MERGED_FASTQ	ERR2098473_MERGED_FASTQ	ERR2098510_MERGED_FASTQ	ERR2098522_MERGED_FASTQ	ERR2098530_MERGED_FASTQ	ERR2098531_MERGED_FASTQ	ERR2098601_MERGED_FASTQ	ERR2098507_MERGED_FASTQ	ERR2098541_MERGED_FASTQ	ERR2098475_MERGED_FASTQ	ERR2098566_MERGED_FASTQ	ERR2098545_MERGED_FASTQ	ERR2098588_MERGED_FASTQ	ERR2098596_MERGED_FASTQ	ERR2098622_MERGED_FASTQ	ERR2098488_MERGED_FASTQ	ERR2098469_MERGED_FASTQ	ERR2098513_MERGED_FASTQ	ERR2098438_MERGED_FASTQ	ERR2098452_MERGED_FASTQ	ERR2098600_MERGED_FASTQ	ERR2196986_MERGED_FASTQ	ERR2098436_MERGED_FASTQ	ERR2098434_MERGED_FASTQ	ERR2098477_MERGED_FASTQ	ERR2098607_MERGED_FASTQ	ERR2098490_MERGED_FASTQ	ERR2098440_MERGED_FASTQ	ERR2098487_MERGED_FASTQ	ERR2098447_MERGED_FASTQ	ERR2098591_MERGED_FASTQ	ERR2098420_MERGED_FASTQ	ERR2098589_MERGED_FASTQ	ERR2098428_MERGED_FASTQ	ERR2098501_MERGED_FASTQ	ERR2098463_MERGED_FASTQ	ERR2098495_MERGED_FASTQ	ERR2098424_MERGED_FASTQ	ERR2098453_MERGED_FASTQ	ERR2098599_MERGED_FASTQ	ERR2098556_MERGED_FASTQ	ERR2098471_MERGED_FASTQ	ERR2196992_MERGED_FASTQ	ERR2098413_MERGED_FASTQ	ERR2098537_MERGED_FASTQ	ERR2098455_MERGED_FASTQ	ERR2098536_MERGED_FASTQ	ERR2098441_MERGED_FASTQ	ERR2098548_MERGED_FASTQ	ERR2098465_MERGED_FASTQ	ERR2098575_MERGED_FASTQ	ERR2098459_MERGED_FASTQ	ERR2098609_MERGED_FASTQ	ERR2098604_MERGED_FASTQ	ERR2098573_MERGED_FASTQ	ERR2098611_MERGED_FASTQ	ERR2098431_MERGED_FASTQ	ERR2098482_MERGED_FASTQ	ERR2098532_MERGED_FASTQ	ERR2098435_MERGED_FASTQ	ERR2098551_MERGED_FASTQ	ERR2098485_MERGED_FASTQ	ERR2098576_MERGED_FASTQ	ERR2098481_MERGED_FASTQ	ERR2098554_MERGED_FASTQ	ERR2098422_MERGED_FASTQ	ERR2098547_MERGED_FASTQ	ERR2098578_MERGED_FASTQ	ERR2098517_MERGED_FASTQ	ERR2098565_MERGED_FASTQ	ERR2098467_MERGED_FASTQ	ERR2098499_MERGED_FASTQ	ERR2098582_MERGED_FASTQ	ERR2098472_MERGED_FASTQ	ERR2098415_MERGED_FASTQ	ERR2098503_MERGED_FASTQ	ERR2098442_MERGED_FASTQ	ERR2098613_MERGED_FASTQ	ERR2196993_MERGED_FASTQ	ERR2098539_MERGED_FASTQ	ERR2098527_MERGED_FASTQ	ERR2098520_MERGED_FASTQ	ERR2098470_MERGED_FASTQ	ERR2098432_MERGED_FASTQ	ERR2098486_MERGED_FASTQ	ERR2098568_MERGED_FASTQ	ERR2098468_MERGED_FASTQ	ERR2098462_MERGED_FASTQ	ERR2098598_MERGED_FASTQ	ERR2098445_MERGED_FASTQ	ERR2098460_MERGED_FASTQ	ERR2196987_MERGED_FASTQ	ERR2098427_MERGED_FASTQ	ERR2098610_MERGED_FASTQ	ERR2098466_MERGED_FASTQ	ERR2098474_MERGED_FASTQ	ERR2098464_MERGED_FASTQ	ERR2098512_MERGED_FASTQ	ERR2098546_MERGED_FASTQ	ERR2098540_MERGED_FASTQ	ERR2098526_MERGED_FASTQ	ERR2098491_MERGED_FASTQ	ERR2098612_MERGED_FASTQ	ERR2098419_MERGED_FASTQ	ERR2098535_MERGED_FASTQ	ERR2098511_MERGED_FASTQ	ERR2098543_MERGED_FASTQ	ERR2196991_MERGED_FASTQ	ERR2098557_MERGED_FASTQ	ERR2098534_MERGED_FASTQ	ERR2098412_MERGED_FASTQ	ERR2098508_MERGED_FASTQ	ERR2098414_MERGED_FASTQ	ERR2098524_MERGED_FASTQ	ERR2098542_MERGED_FASTQ	ERR2098476_MERGED_FASTQ	ERR2098559_MERGED_FASTQ	ERR2098569_MERGED_FASTQ	ERR2098497_MERGED_FASTQ	ERR2098553_MERGED_FASTQ	ERR2098494_MERGED_FASTQ	ERR2098479_MERGED_FASTQ	ERR2098555_MERGED_FASTQ	ERR2098579_MERGED_FASTQ	ERR2098544_MERGED_FASTQ	ERR2098426_MERGED_FASTQ	ERR2098616_MERGED_FASTQ	ERR2098454_MERGED_FASTQ	ERR2098618_MERGED_FASTQ	ERR2098549_MERGED_FASTQ	ERR2098515_MERGED_FASTQ	ERR2098502_MERGED_FASTQ	ERR2098449_MERGED_FASTQ	ERR2098538_MERGED_FASTQ	ERR2098514_MERGED_FASTQ	ERR2098574_MERGED_FASTQ	ERR2098567_MERGED_FASTQ	ERR2098418_MERGED_FASTQ	ERR2098483_MERGED_FASTQ	ERR2098523_MERGED_FASTQ	ERR2098614_MERGED_FASTQ	ERR2098529_MERGED_FASTQ	ERR2098496_MERGED_FASTQ	ERR2098571_MERGED_FASTQ	ERR2098444_MERGED_FASTQ	ERR2098593_MERGED_FASTQ	ERR2098457_MERGED_FASTQ	ERR2098585_MERGED_FASTQ	ERR2098606_MERGED_FASTQ	ERR2098597_MERGED_FASTQ	ERR2098603_MERGED_FASTQ	ERR2098561_MERGED_FASTQ	ERR2098584_MERGED_FASTQ	ERR2098580_MERGED_FASTQ	ERR2098446_MERGED_FASTQ	ERR2196995_MERGED_FASTQ	ERR2098590_MERGED_FASTQ	ERR2098594_MERGED_FASTQ	ERR2098562_MERGED_FASTQ	ERR2098552_MERGED_FASTQ	ERR2098425_MERGED_FASTQ	ERR2098395_MERGED_FASTQ	ERR2098381_MERGED_FASTQ	ERR2098382_MERGED_FASTQ
Archaea	Unassigned	Candidatus_Aenigmarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Altiarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Bathyarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Diapherotrites	4	0	9	0	0	0	12	2	3	3	0	0	0	0	0	3	0	0	4	0	0	19	0	12	0	1	5	6	26	14	5	0	17	5	0	13	4	1	23	0	1	30	16	2	3	6	23	0	4	8	0	0	7	0	12	11	1	0	6	0	1	3	15	14	4	8	13	0	4	17	7	0	0	1	0	7	9	3	0	0	3	0	0	0	19	0	0	0	0	0	4	0	0	0	3	13	5	0	0	1	1	14	0	0	1	0	0	0	5	7	12	30	0	2	11	3	0	6	8	0	5	4	7	2	1	0	10	8	19	4	7	3	9	11	0	4	0	0	0	8	15	15	9	0	3	0	12	21	0	0	18	0	0	2	9	11	12	1	10	1	17	5	2	0	1	3	8	5	2	29	0	0	0	13	2	0	6	0	5	3	2	0	6	4	7	0	1	0	0	4	0	2	0	6	1	14	7	0	3	16	0	10	6	29	0	1	39	8	2	1	2	0	2	1	0	0	3	2	0	1	0	0	0	0
Archaea	Unassigned	Candidatus_Heimdallarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Archaea	Unassigned	Candidatus_Hydrothermarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Korarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Verstraetearchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Woesearchaeota	1	0	1	0	0	1	7	2	4	7	0	0	2	0	0	0	1	3	6	0	2	6	0	1	1	1	2	3	5	10	3	0	4	7	1	3	3	1	8	0	2	13	5	0	2	1	9	0	4	5	1	0	7	2	1	3	0	1	3	0	0	5	5	7	4	1	4	0	1	2	1	2	0	0	0	3	3	3	0	0	1	0	1	3	5	1	0	0	1	0	1	0	0	0	0	5	1	0	0	0	0	2	0	3	2	0	2	0	6	1	2	9	0	4	3	3	0	7	5	0	0	2	6	5	0	0	3	3	5	3	3	1	2	2	1	4	4	1	0	5	2	5	0	0	0	0	3	3	0	1	8	0	0	1	0	2	6	2	9	1	9	1	0	1	2	1	2	3	2	7	0	0	0	4	4	2	0	0	0	2	0	0	3	4	5	0	2	0	1	0	0	0	0	1	1	7	0	1	3	0	0	0	2	6	2	1	3	0	0	0	1	0	1	0	1	0	5	2	0	0	0	0	0	0
Archaea	Unassigned	Crenarchaeota	4	0	3	0	0	3	7	4	3	22	0	0	17	1	1	6	2	2	25	0	1	6	6	3	2	0	1	16	2	37	16	0	10	5	7	8	7	4	2	9	6	11	3	9	4	7	5	12	3	2	1	2	2	1	5	2	0	0	2	0	11	7	15	4	4	16	1	25	8	16	9	2	2	3	0	5	3	9	2	0	1	0	0	0	16	8	1	1	4	1	2	0	2	0	17	1	6	0	2	3	20	6	8	1	4	0	10	0	2	5	5	7	3	3	4	2	0	5	17	0	7	7	2	7	8	1	2	4	8	17	2	6	7	6	2	4	0	5	13	3	36	2	14	1	12	0	2	2	0	0	3	0	4	2	3	18	3	4	34	3	2	15	3	0	17	4	21	11	2	32	1	6	0	5	11	33	4	0	3	11	5	4	19	3	6	4	3	1	3	6	0	13	0	0	10	2	4	2	12	5	10	6	6	10	0	4	7	18	5	1	5	6	13	3	0	5	2	5	4	2	1	0	0	1
