superkingdom	kingdom	phylum	DRR023363_MERGED_FASTQ	DRR023369_MERGED_FASTQ	DRR023354_MERGED_FASTQ	DRR023355_MERGED_FASTQ	DRR023356_MERGED_FASTQ	DRR023357_MERGED_FASTQ	DRR023358_MERGED_FASTQ	DRR023359_MERGED_FASTQ	DRR023360_MERGED_FASTQ	DRR023361_MERGED_FASTQ	DRR023362_MERGED_FASTQ	DRR023364_MERGED_FASTQ	DRR023365_MERGED_FASTQ	DRR023366_MERGED_FASTQ	DRR023367_MERGED_FASTQ	DRR023368_MERGED_FASTQ
Bacteria	Unassigned	Acidobacteria	1	35	11	3	12	2	88	4	47	4	0	0	73	23	40	2
Bacteria	Unassigned	Actinobacteria	140	1164	429	181	289	47	458	83	958	208	46	96	3622	268	1027	267
Bacteria	Unassigned	Armatimonadetes	0	0	2	0	1	0	5	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Bacteroidetes	2296	5174	10821	1114	6328	383	2554	541	17605	5741	1048	2240	59585	3169	13120	5974
Bacteria	Unassigned	Balneolaeota	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Calditrichaeota	0	1	0	1	0	1	7	0	3	0	0	0	1	1	1	0
Bacteria	Unassigned	Candidatus_Beckwithbacteria	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Buchananbacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Campbellbacteria	0	1	0	1	0	0	0	0	1	0	0	0	4	0	4	0
Bacteria	Unassigned	Candidatus_Falkowbacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	0	9	0	1	1	0	2	0	126	0	0	0	12	0	3	1
Bacteria	Unassigned	Candidatus_Hydrogenedentes	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
