superkingdom	kingdom	phylum	SRR6435242_MERGED_FASTQ	SRR6435245_MERGED_FASTQ	SRR6435251_MERGED_FASTQ	SRR6435253_MERGED_FASTQ	SRR6435252_MERGED_FASTQ	SRR6435246_MERGED_FASTQ	SRR6435240_MERGED_FASTQ	SRR6435249_MERGED_FASTQ	SRR6435248_MERGED_FASTQ	SRR6435244_MERGED_FASTQ	SRR6435243_MERGED_FASTQ	SRR6435241_MERGED_FASTQ	SRR6435250_MERGED_FASTQ	SRR6435247_MERGED_FASTQ
Archaea	Unassigned	Candidatus_Aenigmarchaeota	0	0	0	1	1	1	0	4	0	0	0	1	0	1
Archaea	Unassigned	Candidatus_Diapherotrites	29	106	29	23	44	56	30	25	8	0	31	60	21	66
Archaea	Unassigned	Candidatus_Heimdallarchaeota	2	10	6	1	2	2	4	2	0	0	7	5	4	6
Archaea	Unassigned	Candidatus_Hydrothermarchaeota	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Micrarchaeota	1	7	3	2	4	3	0	3	4	0	1	5	2	7
Archaea	Unassigned	Candidatus_Odinarchaeota	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Archaea	Unassigned	Candidatus_Woesearchaeota	3	3	0	1	3	1	0	4	0	0	3	2	0	2
Archaea	Unassigned	Crenarchaeota	78	88	140	57	74	73	104	79	48	9	61	96	68	80
Archaea	Unassigned	Euryarchaeota	55	245	102	51	133	93	160	97	41	8	91	147	59	154
Archaea	Unassigned	Nanoarchaeota	4	15	2	5	7	12	9	1	1	0	5	8	2	11
Archaea	Unassigned	Thaumarchaeota	1	16	2	1	4	2	1	1	1	1	1	2	0	5
Archaea	Unassigned	Unassigned	134	542	125	126	322	286	188	182	47	3	208	234	105	426
Bacteria	Unassigned	Acidobacteria	6449	3947	10743	3472	4472	3807	7564	5792	1938	597	4090	6151	4256	5361
Bacteria	Unassigned	Actinobacteria	7354	3439	9916	3626	5424	4583	7402	5787	1984	16619	3536	6415	4451	5645
Bacteria	Unassigned	Armatimonadetes	13	12	27	17	11	10	7	6	3	5	4	12	7	8
Bacteria	Unassigned	Bacteroidetes	3323	4481	5690	2096	12336	3045	4316	3316	1091	448	4569	3032	2209	3607
Bacteria	Unassigned	Balneolaeota	0	36	9	1	125	0	3	2	4	0	6	4	1	9
Bacteria	Unassigned	Caldiserica	8	6	9	3	3	6	13	3	4	0	11	3	3	10
Bacteria	Unassigned	Calditrichaeota	412	612	764	261	258	274	486	390	115	12	337	431	274	499
Bacteria	Unassigned	Candidatus_Abawacabacteria	8	6	22	4	6	10	13	5	1	0	4	10	7	9
Bacteria	Unassigned	Candidatus_Adlerbacteria	0	0	1	0	0	0	0	1	0	0	0	1	0	0
