superkingdom	kingdom	phylum	ERR911383_MERGED_FASTQ	ERR911382_MERGED_FASTQ	ERR911381_MERGED_FASTQ	ERR911380_MERGED_FASTQ	ERR911379_MERGED_FASTQ	ERR911378_MERGED_FASTQ	ERR911377_MERGED_FASTQ	ERR911376_MERGED_FASTQ	ERR911375_MERGED_FASTQ	ERR911374_MERGED_FASTQ	ERR911373_MERGED_FASTQ	ERR911372_MERGED_FASTQ	ERR911371_MERGED_FASTQ	ERR911370_MERGED_FASTQ	ERR911369_MERGED_FASTQ	ERR911368_MERGED_FASTQ	ERR911367_MERGED_FASTQ	ERR911366_MERGED_FASTQ	ERR911365_MERGED_FASTQ	ERR911364_MERGED_FASTQ	ERR911363_MERGED_FASTQ	ERR911362_MERGED_FASTQ	ERR911361_MERGED_FASTQ	ERR911360_MERGED_FASTQ	ERR911359_MERGED_FASTQ	ERR911358_MERGED_FASTQ	ERR911355_MERGED_FASTQ	ERR911354_MERGED_FASTQ	ERR911353_MERGED_FASTQ	ERR911352_MERGED_FASTQ	ERR911351_MERGED_FASTQ	ERR911357_MERGED_FASTQ	ERR911356_MERGED_FASTQ	ERR911350_MERGED_FASTQ	ERR911349_MERGED_FASTQ	ERR911348_MERGED_FASTQ	ERR911347_MERGED_FASTQ	ERR911346_MERGED_FASTQ	ERR911345_MERGED_FASTQ	ERR911344_MERGED_FASTQ	ERR911343_MERGED_FASTQ	ERR911342_MERGED_FASTQ	ERR911341_MERGED_FASTQ	ERR911340_MERGED_FASTQ	ERR911339_MERGED_FASTQ	ERR911338_MERGED_FASTQ	ERR911337_MERGED_FASTQ	ERR911336_MERGED_FASTQ	ERR911335_MERGED_FASTQ	ERR911334_MERGED_FASTQ	ERR911333_MERGED_FASTQ	ERR911332_MERGED_FASTQ	ERR911331_MERGED_FASTQ	ERR911330_MERGED_FASTQ	ERR911329_MERGED_FASTQ	ERR911328_MERGED_FASTQ	ERR911327_MERGED_FASTQ	ERR911326_MERGED_FASTQ	ERR911325_MERGED_FASTQ	ERR911323_MERGED_FASTQ	ERR911322_MERGED_FASTQ	ERR911321_MERGED_FASTQ	ERR911320_MERGED_FASTQ	ERR911317_MERGED_FASTQ	ERR911314_MERGED_FASTQ	ERR911312_MERGED_FASTQ	ERR911307_MERGED_FASTQ	ERR911319_MERGED_FASTQ	ERR911318_MERGED_FASTQ	ERR911316_MERGED_FASTQ	ERR911315_MERGED_FASTQ	ERR911313_MERGED_FASTQ	ERR911311_MERGED_FASTQ	ERR911310_MERGED_FASTQ	ERR911309_MERGED_FASTQ	ERR911308_MERGED_FASTQ	ERR911306_MERGED_FASTQ	ERR911305_MERGED_FASTQ	ERR911304_MERGED_FASTQ	ERR911303_MERGED_FASTQ	ERR911302_MERGED_FASTQ	ERR911301_MERGED_FASTQ	ERR911300_MERGED_FASTQ	ERR911299_MERGED_FASTQ	ERR911298_MERGED_FASTQ	ERR911297_MERGED_FASTQ	ERR911296_MERGED_FASTQ	ERR911295_MERGED_FASTQ	ERR911294_MERGED_FASTQ	ERR911293_MERGED_FASTQ	ERR911292_MERGED_FASTQ	ERR911291_MERGED_FASTQ	ERR911290_MERGED_FASTQ	ERR911289_MERGED_FASTQ	ERR911288_MERGED_FASTQ	ERR911287_MERGED_FASTQ	ERR911286_MERGED_FASTQ	ERR911285_MERGED_FASTQ	ERR911284_MERGED_FASTQ	ERR911283_MERGED_FASTQ	ERR911282_MERGED_FASTQ	ERR911281_MERGED_FASTQ	ERR911280_MERGED_FASTQ	ERR911279_MERGED_FASTQ	ERR911278_MERGED_FASTQ	ERR911277_MERGED_FASTQ	ERR911276_MERGED_FASTQ	ERR911275_MERGED_FASTQ	ERR911274_MERGED_FASTQ	ERR911273_MERGED_FASTQ	ERR911272_MERGED_FASTQ	ERR911271_MERGED_FASTQ	ERR911270_MERGED_FASTQ	ERR911269_MERGED_FASTQ	ERR911268_MERGED_FASTQ	ERR911267_MERGED_FASTQ	ERR911266_MERGED_FASTQ	ERR911265_MERGED_FASTQ	ERR911264_MERGED_FASTQ	ERR911263_MERGED_FASTQ	ERR911262_MERGED_FASTQ	ERR911261_MERGED_FASTQ	ERR911260_MERGED_FASTQ	ERR911259_MERGED_FASTQ	ERR911258_MERGED_FASTQ	ERR911257_MERGED_FASTQ	ERR911256_MERGED_FASTQ	ERR911255_MERGED_FASTQ	ERR911254_MERGED_FASTQ	ERR911253_MERGED_FASTQ	ERR911251_MERGED_FASTQ	ERR911250_MERGED_FASTQ	ERR911249_MERGED_FASTQ	ERR911252_MERGED_FASTQ	ERR911248_MERGED_FASTQ	ERR911247_MERGED_FASTQ	ERR911246_MERGED_FASTQ	ERR911245_MERGED_FASTQ	ERR911244_MERGED_FASTQ	ERR911243_MERGED_FASTQ	ERR911242_MERGED_FASTQ	ERR911241_MERGED_FASTQ	ERR911240_MERGED_FASTQ	ERR911239_MERGED_FASTQ	ERR911238_MERGED_FASTQ	ERR911237_MERGED_FASTQ	ERR911236_MERGED_FASTQ	ERR911235_MERGED_FASTQ	ERR911234_MERGED_FASTQ	ERR911233_MERGED_FASTQ	ERR911232_MERGED_FASTQ	ERR911231_MERGED_FASTQ	ERR911230_MERGED_FASTQ	ERR911228_MERGED_FASTQ	ERR911225_MERGED_FASTQ	ERR911224_MERGED_FASTQ	ERR911223_MERGED_FASTQ	ERR911222_MERGED_FASTQ	ERR911221_MERGED_FASTQ	ERR911220_MERGED_FASTQ	ERR911219_MERGED_FASTQ	ERR911217_MERGED_FASTQ	ERR911229_MERGED_FASTQ	ERR911227_MERGED_FASTQ	ERR911226_MERGED_FASTQ	ERR911218_MERGED_FASTQ	ERR911216_MERGED_FASTQ	ERR911215_MERGED_FASTQ	ERR911214_MERGED_FASTQ	ERR911213_MERGED_FASTQ	ERR911212_MERGED_FASTQ	ERR911211_MERGED_FASTQ	ERR911210_MERGED_FASTQ	ERR911209_MERGED_FASTQ	ERR911208_MERGED_FASTQ	ERR911207_MERGED_FASTQ	ERR911206_MERGED_FASTQ	ERR911205_MERGED_FASTQ	ERR911204_MERGED_FASTQ	ERR911203_MERGED_FASTQ	ERR911202_MERGED_FASTQ	ERR911201_MERGED_FASTQ
Archaea	Unassigned	Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	6	4	4	3	3	0	1	0	4	4	2	0	1	2	3	1	2	2	3	1	0	3	3	0	5	5	1	0	1	0	10	0	1	1	1	0	1	2	7	3	3	7	2	3	0	6	6	4	2	3	2	0	0	3	17	2	2	3	6	4	4	8	1	7	12	7	3	1	2	2	0	11	7	3	25	5	8	2	1	0	1	4	2	2	21	4	22	9	2	2	4	7	3	2	4	0	3	3	2	5	2	7	0	0	1	2	1	1	1	0	12	8	3	0	20	6	2	3	3	2	0	2	6	2	1	2	3	2	3	1	3	5	2	1	0	0	0	2	2	0	0	2	2	2	2	1	13	1	2	0	2	2	1	2	1	3	8	4	3	3	8	2	1	1	2	1	2	0	5	3	2	3	1	1	4	0	0	3	4	1	5	6
Bacteria	Unassigned	Actinobacteria	2	1	1	2	3	0	2	1	4	10	1	1	2	3	2	1	1	3	1	4	3	3	3	5	5	13	4	3	1	1	11	2	4	3	5	2	0	3	3	1	9	9	2	2	3	4	2	5	2	3	3	2	3	5	10	4	3	3	10	4	4	4	2	7	11	2	1	1	1	1	0	4	5	4	7	4	7	0	2	2	1	6	9	2	15	6	48	10	0	1	1	0	3	5	4	1	5	6	7	4	5	4	1	3	1	0	2	1	0	0	3	3	7	2	10	7	4	5	3	3	0	3	16	6	2	3	5	6	7	4	5	4	5	4	3	2	2	1	2	1	1	3	4	7	1	4	8	1	7	4	3	3	1	1	1	2	15	11	4	7	6	13	0	3	3	2	1	2	3	1	3	2	5	7	8	3	2	20	18	9	12	15
Bacteria	Unassigned	Armatimonadetes	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	2	2	4	2	0	0	2	0	0	0	3	0	0	1	1	0	1	2	1	2	0	0	1	0	1	0	0	0	2	1	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	2	2	3	1	0	0	0	0	0	0	2	1	3	4	21	1	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	2	1	0	0	2	0	0	0	0	0	1	1	2	0	1	1	0	0	3	0	0	0	1	0	0	1	1	0	1	2	0	0	2	0	0	0	1	0	1	0	2	2	2	3	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0
Bacteria	Unassigned	Candidatus_Adlerbacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Chisholmbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Curtissbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Daviesbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
