superkingdom	kingdom	phylum	ERR3323784_MERGED_FASTQ	ERR3323783_MERGED_FASTQ	ERR3323782_MERGED_FASTQ	ERR3323781_MERGED_FASTQ	ERR3265102_MERGED_FASTQ	ERR3265101_MERGED_FASTQ	ERR3265100_MERGED_FASTQ	ERR3265099_MERGED_FASTQ	ERR3265098_MERGED_FASTQ	ERR3265097_MERGED_FASTQ	ERR3265096_MERGED_FASTQ	ERR3265094_MERGED_FASTQ	ERR3265093_MERGED_FASTQ	ERR3265092_MERGED_FASTQ	ERR3265091_MERGED_FASTQ	ERR3265090_MERGED_FASTQ	ERR3265089_MERGED_FASTQ	ERR3265088_MERGED_FASTQ	ERR3265087_MERGED_FASTQ	ERR3265086_MERGED_FASTQ	ERR3265085_MERGED_FASTQ	ERR3265084_MERGED_FASTQ	ERR3265083_MERGED_FASTQ	ERR3265082_MERGED_FASTQ	ERR3265081_MERGED_FASTQ	ERR3265080_MERGED_FASTQ	ERR3265079_MERGED_FASTQ	ERR3265078_MERGED_FASTQ	ERR3265077_MERGED_FASTQ	ERR3265076_MERGED_FASTQ	ERR3265075_MERGED_FASTQ	ERR3265074_MERGED_FASTQ	ERR3265073_MERGED_FASTQ	ERR3265072_MERGED_FASTQ	ERR3265071_MERGED_FASTQ	ERR3265070_MERGED_FASTQ	ERR3265069_MERGED_FASTQ	ERR3265068_MERGED_FASTQ	ERR3265067_MERGED_FASTQ	ERR3265066_MERGED_FASTQ	ERR3265065_MERGED_FASTQ	ERR3265064_MERGED_FASTQ	ERR3265063_MERGED_FASTQ
Archaea	Unassigned	Euryarchaeota	2	3	6	0	0	0	0	0	0	0	0	5	0	2	1	3	2	2	0	3	1	2	2	8	10	3	5	10	1	1	18	16	8	10	10	2	1	4	10	2	1	0	1
Archaea	Unassigned	Thaumarchaeota	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0
Archaea	Unassigned	Unassigned	0	3	2	1	0	0	0	0	0	0	0	4	0	1	0	1	0	3	0	0	1	5	2	1	2	0	6	0	3	0	3	7	2	2	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	8043	7421	15998	3055	0	0	0	0	0	0	0	9742	4323	3473	16326	3753	6133	4961	4197	3047	5878	3740	15723	4167	9286	3543	6287	7065	7191	4933	16623	9737	7687	20351	22508	7973	6162	4001	10260	10307	6775	4607	3643
Bacteria	Unassigned	Actinobacteria	14962	19233	21715	5253	0	0	1	0	0	0	0	18322	10418	6064	23576	5739	12489	7394	6828	5743	9362	6880	29048	6956	17534	7526	14814	14529	12166	11132	34870	24780	22030	33988	34046	10660	7350	7876	13726	14537	8138	11042	9262
Bacteria	Unassigned	Armatimonadetes	117	368	515	132	0	0	0	0	0	0	0	204	42	98	178	65	128	166	36	74	86	163	507	89	274	139	206	150	279	170	543	270	342	491	346	257	67	99	178	308	95	111	90
Bacteria	Unassigned	Bacteroidetes	2189	2207	2027	516	0	0	2	0	1	0	5	1535	1288	574	3093	484	2112	927	1053	633	1065	1096	3677	924	2145	1176	4631	1761	1648	1357	4814	4238	2870	3274	4489	2166	698	758	1390	1519	877	750	764
Bacteria	Unassigned	Candidatus_Abawacabacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Bacteria	Unassigned	Candidatus_Adlerbacteria	57	25	10	5	0	0	0	0	0	0	0	23	26	15	67	8	18	12	27	10	25	9	24	14	21	5	40	19	6	9	38	34	18	30	65	23	34	7	27	29	33	5	9
Bacteria	Unassigned	Candidatus_Azambacteria	5	9	8	0	0	0	0	0	0	0	0	6	2	3	6	1	2	7	8	0	1	4	18	1	3	0	5	0	1	7	4	6	5	9	8	3	2	5	3	4	7	3	0
