superkingdom	kingdom	phylum	ERR3430501_MERGED_FASTQ	ERR3430500_MERGED_FASTQ	ERR3430492_MERGED_FASTQ	ERR3430511_MERGED_FASTQ	ERR3430510_MERGED_FASTQ	ERR3430509_MERGED_FASTQ	ERR3430508_MERGED_FASTQ	ERR3430507_MERGED_FASTQ	ERR3430506_MERGED_FASTQ	ERR3430505_MERGED_FASTQ	ERR3430504_MERGED_FASTQ	ERR3430503_MERGED_FASTQ	ERR3430502_MERGED_FASTQ	ERR3430499_MERGED_FASTQ	ERR3430498_MERGED_FASTQ	ERR3430497_MERGED_FASTQ	ERR3430496_MERGED_FASTQ	ERR3430495_MERGED_FASTQ	ERR3430493_MERGED_FASTQ
Archaea	Unassigned	Euryarchaeota	2	1	5	2	6	5	0	1	4	0	0	0	1	5	1	4	0	3	2
Archaea	Unassigned	Thaumarchaeota	34	63	223	11	23	10	26	66	76	37	17	32	72	21	8	36	39	37	167
Archaea	Unassigned	Unassigned	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	1632	2981	5834	978	2215	1083	1500	2952	4476	2382	1468	1734	2770	2995	1013	3020	2591	2224	4719
Bacteria	Unassigned	Actinobacteria	853	1367	1194	287	663	436	481	1392	2023	1225	608	656	1112	1131	474	1179	1039	636	1018
Bacteria	Unassigned	Armatimonadetes	82	208	371	89	195	99	102	203	280	132	50	89	127	196	81	206	167	187	277
Bacteria	Unassigned	Bacteroidetes	271	268	1072	61	116	106	123	171	642	330	197	201	368	304	118	387	238	172	669
Bacteria	Unassigned	Candidatus_Azambacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria	Unassigned	Candidatus_Hydrogenedentes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0
Bacteria	Unassigned	Candidatus_Latescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Magasanikbacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Melainabacteria	0	0	2	0	0	0	0	1	0	1	0	0	4	1	0	0	0	0	3
Bacteria	Unassigned	Candidatus_Omnitrophica	0	0	2	0	1	3	1	1	0	2	0	1	3	0	0	0	1	0	1
Bacteria	Unassigned	Candidatus_Peregrinibacteria	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0
Bacteria	Unassigned	Candidatus_Rokubacteria	0	0	0	3	18	2	5	5	2	4	2	2	3	3	0	0	2	0	1
Bacteria	Unassigned	Candidatus_Saccharibacteria	55	72	781	10	25	26	25	38	110	56	36	50	78	88	27	60	126	89	315
Bacteria	Unassigned	Candidatus_Tectomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Woykebacteria	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3
Bacteria	Unassigned	Candidatus_Zambryskibacteria	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlamydiae	1	0	0	1	0	0	2	0	2	1	0	0	1	0	1	0	0	0	0
Bacteria	Unassigned	Chloroflexi	935	1307	3089	395	724	388	514	1265	2042	1030	664	725	1178	1129	370	1310	1313	1140	2043
Bacteria	Unassigned	Cyanobacteria	3	18	40	7	1	10	12	11	9	4	3	4	2	2	2	19	17	9	33
Bacteria	Unassigned	Deinococcus-Thermus	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	1	3	1	2
Bacteria	Unassigned	Elusimicrobia	2	1	14	0	3	0	0	1	2	0	0	1	0	0	2	2	6	4	6
Bacteria	Unassigned	Fibrobacteres	1	0	3	0	0	0	0	0	3	3	0	0	0	0	0	1	3	4	3
Bacteria	Unassigned	Firmicutes	56	176	205	9	29	9	34	218	74	38	56	50	65	212	17	40	33	35	140
Bacteria	Unassigned	Gemmatimonadetes	137	212	252	24	78	63	67	132	160	82	51	61	89	159	74	270	217	151	253
Bacteria	Unassigned	Ignavibacteriae	0	4	6	0	0	0	3	1	2	0	1	3	3	1	1	2	3	1	5
Bacteria	Unassigned	Kiritimatiellaeota	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Nitrospinae	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	3	0
Bacteria	Unassigned	Nitrospirae	1	4	4	2	4	2	1	5	12	0	6	6	7	3	1	1	8	1	4
Bacteria	Unassigned	Planctomycetes	744	1184	2310	238	521	259	392	967	1743	801	424	465	897	1062	379	1203	998	738	1730
Bacteria	Unassigned	Proteobacteria	686	933	2239	279	502	371	419	927	1704	1159	607	577	884	883	430	1143	1136	829	1429
Bacteria	Unassigned	Spirochaetes	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Synergistetes	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Unassigned	34	36	138	26	49	30	28	58	66	42	24	37	53	41	16	54	38	32	84
Bacteria	Unassigned	Verrucomicrobia	1230	1837	4011	384	799	439	559	1208	2230	1232	724	799	1605	1683	599	1744	1432	1044	3287
Bacteria	Unassigned	candidate_division_NC10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
