superkingdom	kingdom	phylum	ERR3430414_MERGED_FASTQ	ERR3430413_MERGED_FASTQ	ERR3430412_MERGED_FASTQ	ERR3430411_MERGED_FASTQ	ERR3430410_MERGED_FASTQ	ERR3430409_MERGED_FASTQ	ERR3430408_MERGED_FASTQ	ERR3430407_MERGED_FASTQ	ERR3430406_MERGED_FASTQ	ERR3430405_MERGED_FASTQ	ERR3430404_MERGED_FASTQ	ERR3430403_MERGED_FASTQ
Archaea	Unassigned	Euryarchaeota	6	7	25	26	22	25	7	4	3	2	21	9
Archaea	Unassigned	Thaumarchaeota	96	185	107	258	146	151	339	96	216	163	202	114
Archaea	Unassigned	Unassigned	0	2	2	0	0	4	0	0	0	0	2	0
Bacteria	Unassigned	Acidobacteria	4257	6677	5439	7582	6167	5973	7703	4456	6202	3958	6650	3952
Bacteria	Unassigned	Actinobacteria	335	606	544	594	416	471	363	185	665	600	435	213
Bacteria	Unassigned	Armatimonadetes	331	413	412	772	662	390	594	275	789	441	526	377
Bacteria	Unassigned	Bacteroidetes	445	586	383	437	315	491	654	321	429	315	469	243
Bacteria	Unassigned	Candidatus_Adlerbacteria	6	2	0	0	0	7	2	0	0	2	3	3
Bacteria	Unassigned	Candidatus_Azambacteria	2	1	0	1	1	2	12	5	3	1	6	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	2	5	1	0	0	4	1	0	2	0	1	0
Bacteria	Unassigned	Candidatus_Hydrogenedentes	3	4	2	0	0	2	1	2	3	0	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	3	2	0	1	5	1	11	0	2	2	8	2
Bacteria	Unassigned	Candidatus_Kuenenbacteria	0	0	0	1	0	0	0	0	0	0	3	0
Bacteria	Unassigned	Candidatus_Latescibacteria	0	0	0	2	1	0	1	1	0	4	2	1
Bacteria	Unassigned	Candidatus_Magasanikbacteria	1	1	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Melainabacteria	2	8	1	2	0	6	0	4	4	2	2	1
Bacteria	Unassigned	Candidatus_Moranbacteria	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Nomurabacteria	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Omnitrophica	11	13	18	8	5	19	23	8	11	14	15	3
Bacteria	Unassigned	Candidatus_Parcubacteria	2	3	0	0	1	1	0	0	1	0	0	3
Bacteria	Unassigned	Candidatus_Peregrinibacteria	1	0	1	3	0	0	1	2	1	1	0	1
Bacteria	Unassigned	Candidatus_Rokubacteria	0	0	0	1	0	0	1	0	0	1	3	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	286	541	321	313	240	215	517	363	372	209	266	140
Bacteria	Unassigned	Candidatus_Uhrbacteria	1	0	2	0	0	0	7	0	1	0	2	0
Bacteria	Unassigned	Candidatus_Vogelbacteria	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Woesebacteria	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Woykebacteria	0	0	0	0	0	0	0	0	3	0	1	0
Bacteria	Unassigned	Candidatus_Yonathbacteria	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Chlamydiae	2	6	0	2	0	3	3	0	1	6	0	1
Bacteria	Unassigned	Chloroflexi	1066	1893	1472	1686	1200	1402	1294	712	2133	1499	1403	730
Bacteria	Unassigned	Cyanobacteria	18	16	26	3	11	22	25	12	17	18	8	9
Bacteria	Unassigned	Deinococcus-Thermus	1	1	7	4	0	5	0	2	8	2	5	0
Bacteria	Unassigned	Elusimicrobia	7	17	11	13	11	10	30	8	14	8	13	1
Bacteria	Unassigned	Fibrobacteres	1	25	128	2	1	5	4	3	5	4	0	1
Bacteria	Unassigned	Firmicutes	46	100	52	50	22	70	59	27	54	38	63	26
Bacteria	Unassigned	Gemmatimonadetes	215	357	307	456	312	376	286	150	261	213	318	191
Bacteria	Unassigned	Ignavibacteriae	3	0	10	6	1	8	9	0	4	1	9	0
Bacteria	Unassigned	Kiritimatiellaeota	0	0	0	0	0	0	3	0	0	0	0	0
Bacteria	Unassigned	Nitrospinae	6	15	3	3	1	2	11	12	3	4	0	2
Bacteria	Unassigned	Nitrospirae	40	47	18	44	19	25	70	24	37	52	40	21
Bacteria	Unassigned	Planctomycetes	1305	1728	1444	1899	1398	1615	1745	900	1908	1198	1534	886
Bacteria	Unassigned	Proteobacteria	2149	3118	2084	2498	2154	2173	2555	1529	2695	2015	2400	1087
Bacteria	Unassigned	Spirochaetes	0	2	0	0	1	0	0	0	0	4	0	0
Bacteria	Unassigned	Synergistetes	0	0	0	0	0	1	0	0	3	0	2	0
Bacteria	Unassigned	Unassigned	113	160	104	84	78	92	141	71	170	110	104	61
Bacteria	Unassigned	Verrucomicrobia	2009	3146	2229	2892	2440	2462	3775	1779	3526	1928	2457	2485
Bacteria	Unassigned	candidate_division_CPR1	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	candidate_division_NC10	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria	Unassigned	candidate_division_WWE3	0	0	0	0	0	0	0	0	0	1	0	1
Eukaryota	Viridiplantae	Unassigned	0	0	0	0	0	0	0	0	0	0	0	1
