superkingdom	kingdom	phylum	ERZ1370068_FASTA	ERZ3979533_FASTA	ERZ3979537_FASTA	ERZ3987161_FASTA	ERZ3996211_FASTA
Archaea	Unassigned	Euryarchaeota	0	0	0	0	1
Archaea	Unassigned	Thaumarchaeota	0	2	0	1	2
Archaea	Unassigned	Unassigned	0	1	0	0	0
Bacteria	Unassigned	Acidobacteria	23	37	22	19	78
Bacteria	Unassigned	Actinobacteria	13	31	35	23	34
Bacteria	Unassigned	Armatimonadetes	0	0	0	1	1
Bacteria	Unassigned	Bacteroidetes	0	12	4	10	6
Bacteria	Unassigned	Balneolaeota	0	0	1	0	2
Bacteria	Unassigned	Calditrichaeota	0	1	0	1	0
Bacteria	Unassigned	Candidatus_Adlerbacteria	0	0	0	0	3
Bacteria	Unassigned	Candidatus_Colwellbacteria	0	0	0	0	1
Bacteria	Unassigned	Candidatus_Doudnabacteria	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Giovannonibacteria	0	0	0	0	2
Bacteria	Unassigned	Candidatus_Jorgensenbacteria	0	0	0	0	3
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	0	0	2
Bacteria	Unassigned	Candidatus_Nomurabacteria	0	3	0	0	0
Bacteria	Unassigned	Candidatus_Omnitrophica	0	3	0	1	0
Bacteria	Unassigned	Candidatus_Rokubacteria	6	3	1	1	2
Bacteria	Unassigned	Candidatus_Saccharibacteria	0	1	0	0	1
Bacteria	Unassigned	Candidatus_Yanofskybacteria	0	2	1	0	1
Bacteria	Unassigned	Candidatus_Zambryskibacteria	0	0	0	1	0
Bacteria	Unassigned	Chlamydiae	0	5	0	0	2
Bacteria	Unassigned	Chloroflexi	2	10	3	10	21
Bacteria	Unassigned	Cyanobacteria	0	0	0	0	1
Bacteria	Unassigned	Elusimicrobia	0	0	1	0	1
Bacteria	Unassigned	Firmicutes	2	14	4	1	11
Bacteria	Unassigned	Gemmatimonadetes	3	6	1	2	9
Bacteria	Unassigned	Ignavibacteriae	0	1	0	0	0
Bacteria	Unassigned	Nitrospirae	1	2	0	1	2
Bacteria	Unassigned	Planctomycetes	1	16	10	7	25
Bacteria	Unassigned	Proteobacteria	28	84	30	39	80
Bacteria	Unassigned	Synergistetes	0	1	1	0	0
Bacteria	Unassigned	Unassigned	2	25	24	10	47
Bacteria	Unassigned	Verrucomicrobia	5	11	11	6	13
Eukaryota	Fungi	Ascomycota	0	1	2	0	2
Eukaryota	Fungi	Basidiomycota	0	1	1	2	0
Eukaryota	Fungi	Cryptomycota	0	0	1	1	0
Eukaryota	Fungi	Mucoromycota	0	0	0	1	1
Eukaryota	Fungi	Unassigned	0	1	1	0	0
Eukaryota	Metazoa	Annelida	0	0	0	1	0
Eukaryota	Metazoa	Arthropoda	0	0	1	0	0
Eukaryota	Metazoa	Nematoda	0	0	1	0	0
Eukaryota	Metazoa	Unassigned	0	0	3	0	0
Eukaryota	Unassigned	Cercozoa	0	1	0	0	2
Eukaryota	Unassigned	Discosea	0	0	0	0	1
Eukaryota	Unassigned	Unassigned	0	7	9	3	5
Eukaryota	Viridiplantae	Unassigned	0	0	1	0	0
Unassigned	Unassigned	Unassigned	0	37	31	21	65
