superkingdom	kingdom	phylum	ERR5378024_MERGED_FASTQ	ERR5378045_MERGED_FASTQ	ERR5378042_MERGED_FASTQ	ERR5378038_MERGED_FASTQ	ERR5378034_MERGED_FASTQ	ERR5378025_MERGED_FASTQ	ERR5378052_MERGED_FASTQ	ERR5378050_MERGED_FASTQ	ERR5378049_MERGED_FASTQ	ERR5378046_MERGED_FASTQ	ERR5378044_MERGED_FASTQ	ERR5378041_MERGED_FASTQ	ERR5378040_MERGED_FASTQ	ERR5378039_MERGED_FASTQ	ERR5378037_MERGED_FASTQ	ERR5378036_MERGED_FASTQ	ERR5378033_MERGED_FASTQ	ERR5378028_MERGED_FASTQ	ERR5378023_MERGED_FASTQ	ERR5378022_MERGED_FASTQ	ERR5378053_MERGED_FASTQ	ERR5378051_MERGED_FASTQ	ERR5378048_MERGED_FASTQ	ERR5378047_MERGED_FASTQ	ERR5378043_MERGED_FASTQ	ERR5378035_MERGED_FASTQ	ERR5378032_MERGED_FASTQ	ERR5378031_MERGED_FASTQ	ERR5378030_MERGED_FASTQ	ERR5378029_MERGED_FASTQ	ERR5378027_MERGED_FASTQ	ERR5378026_MERGED_FASTQ	ERR5378021_MERGED_FASTQ	ERR5378020_MERGED_FASTQ	ERZ2610364_FASTA	ERZ2610361_FASTA	ERZ2610360_FASTA	ERZ2610341_FASTA	ERZ2610340_FASTA	ERZ2610338_FASTA	ERZ2610336_FASTA	ERZ2610353_FASTA	ERZ2610365_FASTA	ERZ2610357_FASTA	ERZ2610356_FASTA	ERZ2610352_FASTA	ERZ2610349_FASTA	ERZ2610348_FASTA	ERZ2610345_FASTA	ERZ2610344_FASTA	ERZ2610367_FASTA	ERZ2610366_FASTA	ERZ2610363_FASTA	ERZ2610362_FASTA	ERZ2610358_FASTA	ERZ2610339_FASTA	ERZ2610359_FASTA	ERZ2610355_FASTA	ERZ2610354_FASTA	ERZ2610350_FASTA	ERZ2610347_FASTA	ERZ2610346_FASTA	ERZ2610343_FASTA	ERZ2610342_FASTA
Archaea	Unassigned	Candidatus_Diapherotrites	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Crenarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Euryarchaeota	29	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	146	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Thaumarchaeota	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Unassigned	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	595167	145	122	81	19	31	13	18	82	111	114	77	19	93	18	12	11	32	362313	3	3	26	49	125	93	6	20	29	13	3	121	12	57	37	1	0	2	0	2	0	1	1	4	0	3	0	0	1	3	1	2	0	2	4	1	0	0	1	0	1	2	0	3	2
Bacteria	Unassigned	Actinobacteria	251746	176	164	120	19	38	9	11	182	142	162	121	39	301	46	15	34	77	204321	4	3	18	72	93	166	5	28	45	21	6	166	17	41	36	2	0	3	0	3	6	1	0	3	0	2	3	1	1	3	2	2	0	2	1	0	0	2	4	1	0	5	2	2	0
Bacteria	Unassigned	Aquificae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Armatimonadetes	94400	35	16	12	0	8	2	6	14	8	26	22	3	6	8	0	1	6	75974	0	2	6	4	27	17	1	1	4	2	0	19	5	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria	Unassigned	Bacteroidetes	94535	12	34	33	1	24	0	5	44	7	13	28	4	25	3	4	3	5	67710	1	0	3	1	31	41	0	3	4	0	0	14	0	7	16	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
