superkingdom	kingdom	phylum	ERR3256326_MERGED_FASTQ	ERR3256325_MERGED_FASTQ	ERR3256324_MERGED_FASTQ	ERR3256323_MERGED_FASTQ	ERR3256322_MERGED_FASTQ	ERR3256321_MERGED_FASTQ	ERR3256320_MERGED_FASTQ	ERR3256319_MERGED_FASTQ	ERR3256318_MERGED_FASTQ	ERR3256317_MERGED_FASTQ	ERR3256316_MERGED_FASTQ	ERR3256315_MERGED_FASTQ	ERR3256314_MERGED_FASTQ	ERR3256313_MERGED_FASTQ	ERR3256312_MERGED_FASTQ	ERR3256311_MERGED_FASTQ	ERR3256310_MERGED_FASTQ	ERR3256309_MERGED_FASTQ	ERR3256308_MERGED_FASTQ	ERR3256307_MERGED_FASTQ	ERR3256306_MERGED_FASTQ	ERR3256305_MERGED_FASTQ	ERR3256304_MERGED_FASTQ	ERR3256303_MERGED_FASTQ	ERR3256302_MERGED_FASTQ	ERR3256301_MERGED_FASTQ	ERR3256300_MERGED_FASTQ	ERR3256299_MERGED_FASTQ	ERR3256298_MERGED_FASTQ	ERR3256297_MERGED_FASTQ	ERR3256296_MERGED_FASTQ	ERR3256295_MERGED_FASTQ	ERR3256294_MERGED_FASTQ	ERR3256293_MERGED_FASTQ	ERR3256291_MERGED_FASTQ	ERR3256290_MERGED_FASTQ	ERR3256289_MERGED_FASTQ	ERR3255954_MERGED_FASTQ	ERR3255953_MERGED_FASTQ	ERR3255952_MERGED_FASTQ	ERR3255951_MERGED_FASTQ	ERR3255950_MERGED_FASTQ	ERR3255949_MERGED_FASTQ	ERR3255948_MERGED_FASTQ	ERR3255946_MERGED_FASTQ	ERR3255942_MERGED_FASTQ	ERR3255941_MERGED_FASTQ	ERR3255933_MERGED_FASTQ	ERR3255931_MERGED_FASTQ	ERR3255926_MERGED_FASTQ	ERR3255925_MERGED_FASTQ	ERR3255922_MERGED_FASTQ	ERR3255921_MERGED_FASTQ	ERR3255920_MERGED_FASTQ	ERR3255654_MERGED_FASTQ	ERR3255653_MERGED_FASTQ	ERR3255652_MERGED_FASTQ	ERR3255651_MERGED_FASTQ	ERR3255650_MERGED_FASTQ	ERR3255649_MERGED_FASTQ	ERR3255648_MERGED_FASTQ	ERR3255647_MERGED_FASTQ	ERR3255646_MERGED_FASTQ	ERR3255645_MERGED_FASTQ	ERR3255644_MERGED_FASTQ	ERR3255643_MERGED_FASTQ	ERR3255642_MERGED_FASTQ	ERR3255641_MERGED_FASTQ	ERR3255640_MERGED_FASTQ	ERR3255639_MERGED_FASTQ	ERR3255638_MERGED_FASTQ	ERR3255637_MERGED_FASTQ	ERR3255636_MERGED_FASTQ	ERR3255635_MERGED_FASTQ	ERR3255634_MERGED_FASTQ	ERR3255633_MERGED_FASTQ	ERR3255632_MERGED_FASTQ	ERR3255631_MERGED_FASTQ	ERR3255630_MERGED_FASTQ	ERR3255629_MERGED_FASTQ	ERR3255628_MERGED_FASTQ	ERR3255627_MERGED_FASTQ	ERR3255626_MERGED_FASTQ	ERR3255625_MERGED_FASTQ	ERR3255624_MERGED_FASTQ	ERR3255623_MERGED_FASTQ	ERR3255622_MERGED_FASTQ	ERR3255621_MERGED_FASTQ	ERR3255620_MERGED_FASTQ	ERR3255619_MERGED_FASTQ	ERR3255618_MERGED_FASTQ	ERR3255617_MERGED_FASTQ	ERR3255616_MERGED_FASTQ
Archaea	Unassigned	Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	253	0	0	0	140	0	0	0
Archaea	Unassigned	Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Archaea	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	3104	402	39814	928	1500	2448	7115	628	2212	1215	1284	69	531	791	948	149	4116	395	441	18	818	1177	343	1344	748	681	658	3294	3111	1473	10392	35328	8588	6510	2535	11224	2383	2695	3112
Bacteria	Unassigned	Actinobacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	37	1	0	0	0	0	0	0	0	1	2	10	3	18898	2234	116606	2909	3221	9101	33240	4334	6069	6869	2930	193	2007	1749	1848	954	22177	2001	1962	146	3980	3919	1500	6682	7835	3640	7515	16370	31224	5120	46421	105219	39845	81389	11969	43391	10654	6308	7380
Bacteria	Unassigned	Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	50	1575	60	91	250	316	73	197	155	73	8	40	54	74	15	502	40	42	2	60	73	28	306	175	84	194	384	640	154	1511	1117	870	947	174	272	200	204	298
Bacteria	Unassigned	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	874	63	545	321	612	820	126	810	120	638	282	20	213	263	244	50	2323	188	120	10	205	601	92	570	98	500	127	1181	1306	719	6979	4291	4977	1154	1965	1967	1871	1478	2770
Bacteria	Unassigned	Balneolaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	5	0	0	1	0	0
Bacteria	Unassigned	Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	9	0	0	0
Bacteria	Unassigned	Candidatus_Adlerbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	43	0	0	0
