superkingdom	kingdom	phylum	SRR19012479_MERGED_FASTQ	SRR19012478_MERGED_FASTQ	SRR19012477_MERGED_FASTQ	SRR19012476_MERGED_FASTQ	SRR19012475_MERGED_FASTQ	SRR19012474_MERGED_FASTQ	SRR19012473_MERGED_FASTQ	SRR19012472_MERGED_FASTQ	SRR19012471_MERGED_FASTQ	SRR19012470_MERGED_FASTQ
Archaea	Unassigned	Euryarchaeota	28	5	8	3	1	0	15	21	14	0
Archaea	Unassigned	Thaumarchaeota	7	2	2	1	6	1	0	12	3	1
Archaea	Unassigned	Unassigned	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Acidobacteria	4511	1309	1091	656	3593	161	544	1649	1113	125
Bacteria	Unassigned	Actinobacteria	16421	13570	15310	15798	19947	8977	5008	14267	11664	11547
Bacteria	Unassigned	Armatimonadetes	176	114	99	49	223	25	50	127	83	5
Bacteria	Unassigned	Bacteroidetes	143	59	16	11	353	29	54	257	139	114
Bacteria	Unassigned	Candidatus_Adlerbacteria	0	0	1	2	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Daviesbacteria	0	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	1	0	1	0	0	0	0	2	0	0
Bacteria	Unassigned	Candidatus_Hydrogenedentes	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Candidatus_Melainabacteria	2	3	1	1	2	0	0	3	0	1
Bacteria	Unassigned	Candidatus_Omnitrophica	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Peregrinibacteria	8	3	6	1	2	0	4	3	0	0
Bacteria	Unassigned	Candidatus_Rokubacteria	32	22	29	8	4	2	5	15	2	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	49	22	16	6	25	15	10	76	7	7
Bacteria	Unassigned	Candidatus_Tectomicrobia	7	3	0	2	14	0	1	2	1	0
Bacteria	Unassigned	Candidatus_Terrybacteria	0	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Candidatus_Woykebacteria	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlamydiae	0	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Chloroflexi	2998	2610	2716	1895	4116	2808	1437	3815	10758	1181
Bacteria	Unassigned	Cyanobacteria	12	10	13	5	10	7	13	25	2	11
Bacteria	Unassigned	Deinococcus-Thermus	0	2	0	0	10	3	1	0	0	0
Bacteria	Unassigned	Elusimicrobia	18	6	3	1	5	0	2	0	0	0
Bacteria	Unassigned	Fibrobacteres	0	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Firmicutes	76	69	53	74	239	60	27	76	24	24
Bacteria	Unassigned	Fusobacteria	0	2	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Gemmatimonadetes	771	465	399	316	1026	157	329	1448	821	142
Bacteria	Unassigned	Ignavibacteriae	13	8	2	2	11	3	11	87	21	2
Bacteria	Unassigned	Nitrospirae	97	65	37	27	36	10	24	39	34	4
Bacteria	Unassigned	Planctomycetes	295	262	68	44	306	43	106	98	293	22
Bacteria	Unassigned	Proteobacteria	2226	1230	719	662	3057	289	593	2545	773	253
Bacteria	Unassigned	Synergistetes	1	0	0	0	2	1	0	0	0	0
Bacteria	Unassigned	Unassigned	904	192	108	79	1012	20	49	281	144	28
Bacteria	Unassigned	Verrucomicrobia	562	42	54	16	336	12	51	245	46	2
Eukaryota	Viridiplantae	Streptophyta	0	0	0	0	0	0	0	10	0	0
Eukaryota	Viridiplantae	Unassigned	0	0	0	0	2	0	0	37	2	0
