superkingdom	kingdom	phylum	ERZ11952351_FASTA	ERZ11952285_FASTA	ERZ11952288_FASTA	ERZ11952294_FASTA	ERZ11952293_FASTA	ERZ11952290_FASTA	ERZ11952297_FASTA	ERZ11952291_FASTA	ERZ11952289_FASTA	ERZ11952287_FASTA	ERZ11952286_FASTA	ERZ11952263_FASTA
Archaea	Unassigned	Thaumarchaeota	1	0	2	2	2	1	2	2	3	2	1	1
Archaea	Unassigned	Unassigned	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	2	1	4	4	3	4	4	2	3	4	0	2
Bacteria	Unassigned	Actinobacteria	1	5	2	2	1	4	6	5	4	2	4	4
Bacteria	Unassigned	Armatimonadetes	1	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	2	4	1	3	3	3	5	1	1	2	3	4
Bacteria	Unassigned	Candidatus_Azambacteria	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Nomurabacteria	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	0	0	0	0	0	0	0	0	0	1	0	1
Bacteria	Unassigned	Candidatus_Zambryskibacteria	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlamydiae	0	0	0	1	0	0	1	1	0	0	0	1
Bacteria	Unassigned	Chloroflexi	2	2	0	1	1	1	0	1	0	1	1	0
Bacteria	Unassigned	Firmicutes	1	0	1	2	1	1	2	0	0	2	0	0
Bacteria	Unassigned	Gemmatimonadetes	0	1	0	0	0	0	1	0	0	1	0	2
Bacteria	Unassigned	Nitrospirae	0	0	1	2	1	1	0	0	1	0	1	0
Bacteria	Unassigned	Planctomycetes	0	0	2	2	1	1	0	2	0	1	1	0
Bacteria	Unassigned	Proteobacteria	6	6	4	7	5	11	10	1	5	4	6	8
Bacteria	Unassigned	Unassigned	2	0	0	0	1	1	1	0	1	1	1	1
Bacteria	Unassigned	Verrucomicrobia	2	1	0	0	1	1	1	2	2	1	3	1
Eukaryota	Fungi	Ascomycota	0	2	0	1	0	1	0	0	2	0	0	1
Eukaryota	Fungi	Basidiomycota	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota	Fungi	Mucoromycota	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota	Fungi	Unassigned	0	0	0	0	0	0	1	0	0	1	0	0
Eukaryota	Metazoa	Annelida	1	0	0	2	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	0	1	0	0	0	0	2	0	0	1	0	1
Eukaryota	Metazoa	Nematoda	0	0	0	0	0	0	0	0	0	1	2	0
Eukaryota	Unassigned	Apicomplexa	0	0	0	0	2	3	0	0	4	0	0	0
Eukaryota	Unassigned	Cercozoa	1	0	0	0	0	0	0	0	0	0	0	1
Eukaryota	Unassigned	Unassigned	0	3	0	1	1	3	2	0	0	2	2	1
Eukaryota	Viridiplantae	Streptophyta	1	0	0	1	2	1	1	0	0	1	1	1
Unassigned	Unassigned	Unassigned	0	0	0	2	0	0	3	0	0	0	0	0
