superkingdom	kingdom	phylum	SRR13978093_MERGED_FASTQ	SRR13978086_MERGED_FASTQ	SRR13978082_MERGED_FASTQ	SRR13978075_MERGED_FASTQ	SRR13978074_MERGED_FASTQ	SRR13978094_MERGED_FASTQ	SRR13978085_MERGED_FASTQ	SRR13978084_MERGED_FASTQ	SRR13978081_MERGED_FASTQ	SRR13978079_MERGED_FASTQ	SRR13978078_MERGED_FASTQ	SRR13978077_MERGED_FASTQ	SRR13978092_MERGED_FASTQ	SRR13978087_MERGED_FASTQ	SRR13978073_MERGED_FASTQ	SRR13978091_MERGED_FASTQ	SRR13978089_MERGED_FASTQ	SRR13978088_MERGED_FASTQ	SRR13978076_MERGED_FASTQ	SRR13978090_MERGED_FASTQ	SRR13978083_MERGED_FASTQ	SRR13978080_MERGED_FASTQ	SRR13978072_MERGED_FASTQ
Archaea	Unassigned	Candidatus_Diapherotrites	0	0	1	0	0	3	1	7	1	0	0	0	5	2	0	2	1	1	4	0	4	1	1
Archaea	Unassigned	Candidatus_Woesearchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Archaea	Unassigned	Crenarchaeota	3	0	8	10	7	0	2	0	4	1	1	10	2	2	16	2	1	1	38	0	0	1	2
Archaea	Unassigned	Euryarchaeota	18	1990	1984	2008	2075	15	25	78	1727	83	40	29	61	48	182	66	35	46	263	58	16	36	60
Archaea	Unassigned	Nanoarchaeota	0	0	0	0	0	0	2	4	1	6	0	0	2	0	0	2	0	1	0	0	2	0	0
Archaea	Unassigned	Thaumarchaeota	18	197	418	419	259	27	54	69	278	35	25	16	45	48	10	33	68	30	10	61	24	26	41
Archaea	Unassigned	Unassigned	119	146	421	192	231	77	103	126	353	53	133	72	181	72	13	82	59	124	39	69	130	98	40
Bacteria	Unassigned	Acidobacteria	11838	88811	123916	77332	74683	24245	28576	39688	100159	12690	9673	20551	37030	27616	4083	25433	20651	26282	2203	39017	26876	16254	11604
Bacteria	Unassigned	Actinobacteria	45710	296615	338838	258432	266204	53567	31273	32084	294210	59357	43414	51192	33567	24824	87702	19995	21858	15789	41064	25470	16825	52651	47506
Bacteria	Unassigned	Aquificae	0	2	1	1	3	2	1	0	3	0	1	1	2	0	0	1	0	0	1	1	1	0	0
Bacteria	Unassigned	Armatimonadetes	449	2017	2818	2807	2872	597	970	1204	2390	513	294	491	1407	1166	65	868	628	672	35	1305	1020	508	331
Bacteria	Unassigned	Bacteroidetes	12570	27940	35175	20471	21702	11616	8694	9373	28299	19214	9557	11290	8802	7629	19529	5225	6065	7033	22221	7618	5902	16061	9956
Bacteria	Unassigned	Balneolaeota	118	2	0	0	2	19	3	10	2	76	81	16	11	14	897	21	2	4	1088	8	10	1	224
