phylum	#KEY
MGYA00143469-SRS2301826	countTable_biom2.tsv
MGYA00143475-SRS2301830	countTable_biom2.tsv
MGYA00143477-SRS2301825	countTable_biom2.tsv
MGYA00143478-SRS2301829	countTable_biom2.tsv
MGYA00143482-SRS2301824	countTable_biom2.tsv
MGYA00143483-SRS2301827	countTable_biom2.tsv
MGYA00143486-SRS2301823	countTable_biom2.tsv
MGYA00143488-SRS2301828	countTable_biom2.tsv
MGYA00150693-SRS675025	countTable_biom2.tsv
MGYA00150694-SRS675026	countTable_biom2.tsv
MGYA00159985-DRS049572	countTable_biom2.tsv
MGYA00159986-DRS049570	countTable_biom2.tsv
MGYA00159987-DRS049539	countTable_biom2.tsv
MGYA00159988-DRS049589	countTable_biom2.tsv
MGYA00159989-DRS049532	countTable_biom2.tsv
MGYA00159990-DRS049545	countTable_biom2.tsv
MGYA00159991-DRS049564	countTable_biom2.tsv
MGYA00159992-DRS049581	countTable_biom2.tsv
MGYA00159993-DRS049567	countTable_biom2.tsv
MGYA00159994-DRS049578	countTable_biom2.tsv
MGYA00159995-DRS049527	countTable_biom2.tsv
MGYA00159996-DRS049537	countTable_biom2.tsv
MGYA00159997-DRS049548	countTable_biom2.tsv
MGYA00159998-DRS049592	countTable_biom2.tsv
MGYA00159999-DRS049540	countTable_biom2.tsv
MGYA00160000-DRS049555	countTable_biom2.tsv
MGYA00160001-DRS049573	countTable_biom2.tsv
MGYA00160002-DRS049554	countTable_biom2.tsv
MGYA00160003-DRS049558	countTable_biom2.tsv
MGYA00160004-DRS049533	countTable_biom2.tsv
MGYA00160005-DRS049566	countTable_biom2.tsv
MGYA00160006-DRS049568	countTable_biom2.tsv
MGYA00160007-DRS049577	countTable_biom2.tsv
MGYA00160008-DRS049541	countTable_biom2.tsv
MGYA00160009-DRS049551	countTable_biom2.tsv
MGYA00160010-DRS049534	countTable_biom2.tsv
MGYA00160011-DRS049530	countTable_biom2.tsv
MGYA00160012-DRS049531	countTable_biom2.tsv
MGYA00160013-DRS049542	countTable_biom2.tsv
MGYA00160014-DRS049538	countTable_biom2.tsv
MGYA00160015-DRS049561	countTable_biom2.tsv
MGYA00160016-DRS049536	countTable_biom2.tsv
MGYA00160017-DRS049559	countTable_biom2.tsv
MGYA00160018-DRS049535	countTable_biom2.tsv
MGYA00160019-DRS049590	countTable_biom2.tsv
MGYA00160020-DRS049544	countTable_biom2.tsv
MGYA00160021-DRS049563	countTable_biom2.tsv
MGYA00160022-DRS049579	countTable_biom2.tsv
MGYA00160023-DRS049553	countTable_biom2.tsv
MGYA00160024-DRS049571	countTable_biom2.tsv
