GeneID	MGYA00661780-SRS5061789	MGYA00661782-SRS5061780	MGYA00661783-SRS5061791	MGYA00661784-SRS5061788	MGYA00661785-SRS5061785	MGYA00661787-SRS5061770	MGYA00661789-SRS5061775	MGYA00661791-SRS5061774	MGYA00661792-SRS5061794	MGYA00661793-SRS5061783
sk_taxa_Bacteria	9.0	4.0	4.0	5.0	15.0	3.0	35.0	40.0	1.0	21.0
sk_taxa_Eukaryota	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k_taxa_	9.0	4.0	4.0	5.0	14.0	3.0	33.0	38.0	1.0	21.0
k_taxa_Fungi	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
p_taxa_Actinobacteria	0.0	3.0	0.0	0.0	2.0	0.0	4.0	3.0	0.0	0.0
p_taxa_Ascomycota	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
p_taxa_Bacteroidetes	5.0	0.0	1.0	2.0	2.0	1.0	4.0	5.0	0.0	3.0
p_taxa_Candidatus_Saccharibacteria	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0
p_taxa_Firmicutes	1.0	0.0	3.0	2.0	4.0	1.0	16.0	20.0	0.0	13.0
p_taxa_Fusobacteria	1.0	0.0	0.0	1.0	3.0	1.0	3.0	2.0	1.0	1.0
p_taxa_Proteobacteria	0.0	1.0	0.0	0.0	3.0	0.0	3.0	3.0	0.0	1.0
p_taxa_Spirochaetes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
p_taxa_Synergistetes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0
c_taxa_	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
c_taxa_Actinobacteria	0.0	3.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0
c_taxa_Bacilli	1.0	0.0	1.0	0.0	2.0	1.0	4.0	2.0	0.0	2.0
c_taxa_Bacteroidia	5.0	0.0	1.0	2.0	1.0	1.0	2.0	5.0	0.0	3.0
c_taxa_Betaproteobacteria	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
c_taxa_Clostridia	0.0	0.0	1.0	0.0	1.0	0.0	2.0	8.0	0.0	4.0
c_taxa_Coriobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
c_taxa_Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
c_taxa_Erysipelotrichia	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
c_taxa_Flavobacteriia	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
c_taxa_Fusobacteriia	1.0	0.0	0.0	1.0	3.0	1.0	3.0	2.0	1.0	1.0
c_taxa_Gammaproteobacteria	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0
c_taxa_Negativicutes	0.0	0.0	1.0	2.0	1.0	0.0	7.0	8.0	0.0	5.0
c_taxa_Saccharomycetes	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
c_taxa_Spirochaetia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
c_taxa_Synergistia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0
c_taxa_Tissierellia	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0
o_taxa_	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
o_taxa_Actinomycetales	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
o_taxa_Bacteroidales	5.0	0.0	1.0	2.0	1.0	1.0	2.0	5.0	0.0	3.0
o_taxa_Burkholderiales	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
o_taxa_Campylobacterales	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
o_taxa_Clostridiales	0.0	0.0	1.0	0.0	1.0	0.0	2.0	8.0	0.0	4.0
