# Constructed from biom file
# OTU ID	SSU_rRNA	taxonomy	taxid
211716	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	2192
100053	1343.0	sk__Eukaryota	2759
167998	6.0	sk__Eukaryota;k__;p__;c__;o__Pirsoniales	2587759
22052	2.0	sk__Eukaryota;k__;p__;c__;o__Pirsoniales;f__;g__Pirsonia	230408
221576	1.0	sk__Eukaryota;k__;p__;c__;o__Telonemida	589438
137496	193.0	sk__Eukaryota;k__;p__;c__;o__Telonemida;f__;g__Telonema	232264
203864	6.0	sk__Eukaryota;k__;p__;c__Aphelidea	1498967
49577	21.0	sk__Eukaryota;k__;p__;c__Bigyra	2683628
125725	1.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Amphifilida;f__;g__Sorodiplophrys	1804150
39933	3.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Oblongichytrida	2699530
194104	6.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Oblongichytrida;f__;g__Oblongichytrium	420539
97922	1.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Thraustochytrida	2699528
108583	4.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Thraustochytrida;f__Thraustochytriaceae	33674
169312	1.0	sk__Eukaryota;k__;p__;c__Bolidophyceae	91989
178431	24.0	sk__Eukaryota;k__;p__;c__Bolidophyceae;o__Parmales	722750
60183	125.0	sk__Eukaryota;k__;p__;c__Bolidophyceae;o__Parmales;f__Triparmaceae	722751
33947	33.0	sk__Eukaryota;k__;p__;c__Bolidophyceae;o__Parmales;f__Triparmaceae;g__Bolidomonas	91990
155181	3.0	sk__Eukaryota;k__;p__;c__Bolidophyceae;o__Parmales;f__Triparmaceae;g__Triparma	722752
157930	6.0	sk__Eukaryota;k__;p__;c__Choanoflagellata	28009
87705	8.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Acanthoecida	1924739
228575	15.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Acanthoecida;f__Acanthoecidae;g__Pleurasiga	1864613
106316	3.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Acanthoecida;f__Stephanoecidae	1158810
148389	2.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Acanthoecida;f__Stephanoecidae;g__Diaphanoeca	28013
195389	3.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Craspedida;f__Salpingoecidae	81529
212712	21.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Craspedida;f__Salpingoecidae;g__Bicosta	1864601
177097	8.0	sk__Eukaryota;k__;p__;c__Chrysophyceae	2825
96437	1.0	sk__Eukaryota;k__;p__;c__Chrysophyceae;o__Chromulinales;f__Paraphysomonadaceae	36768
107875	1.0	sk__Eukaryota;k__;p__;c__Chrysophyceae;o__Hydrurales	420604
85114	209.0	sk__Eukaryota;k__;p__;c__Cryptophyceae	3027
72180	2.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Cryptomonadales	589350
87348	1.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Kathablepharidacea;f__;g__Roombia;s__Roombia_truncata	681104
191879	4.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Kathablepharidacea;f__Katablepharidaceae	339961
81059	2.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Kathablepharidacea;f__Katablepharidaceae;g__Katablepharis	339962
187565	2.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Kathablepharidacea;f__Katablepharidaceae;g__Katablepharis;s__Katablepharis_remigera	324623
135238	15.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Kathablepharidacea;f__Katablepharidaceae;g__Leucocryptos	299205
167226	3.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Pyrenomonadales	589342
52322	14.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Pyrenomonadales;f__Geminigeraceae;g__Teleaulax	77930
32938	19.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Pyrenomonadales;f__Pyrenomonadaceae;g__Rhodomonas	37096
15591	3.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Pyrenomonadales;f__Pyrenomonadaceae;g__Rhodomonas;s__Rhodomonas_sp._1_EDK-2013	1420817
58230	6.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Dictyochales	35685
83264	13.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Dictyochales;f__;g__Dictyocha	35686
6223	8.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales	590977
15582	1.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales;f__;g__Florenciella	236786
96099	2.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales;f__;g__Pseudochattonella	467778
69447	43.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Pedinellales	35680
71908	4742.0	sk__Eukaryota;k__;p__;c__Dinophyceae	2864
141961	21.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Blastodiniales;f__;g__Haplozoon	160616
137069	1.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales	2953
66460	7.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Gymnodiniaceae	66801
55907	10.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Gymnodiniaceae;g__Akashiwo	143671
52943	50.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Gymnodiniaceae;g__Amphidinium	2960
40629	85.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Gymnodiniaceae;g__Gymnodinium	2955
37724	182.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Gymnodiniaceae;g__Gyrodinium	60594
146880	11.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Kareniaceae;g__Karlodinium	157684
120274	2.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Warnowiaceae	651389
231741	2.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales	2910
188445	7.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Heterocapsaceae	66802
81612	2.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Heterocapsaceae;g__Heterocapsa	2918
206717	4.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Heterocapsaceae;g__Heterocapsa;s__Heterocapsa_rotundata	89963
202571	59.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Protoperidiniaceae;g__Protoperidinium	261839
109362	13.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Prorocentrales	2942
191725	19.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Prorocentrales;f__Prorocentraceae	2943
92089	67.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Prorocentrales;f__Prorocentraceae;g__Prorocentrum	2944
4746	3.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Suessiales	89954
98269	103.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Suessiales;f__Biecheleriaceae;g__Biecheleria	1209074
123696	60.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Suessiales;f__Suessiaceae	89955
2840	1.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Suessiales;f__Suessiaceae;g__Pelagodinium	766107
89078	516.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Syndiniales	88547
233777	8.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Syndiniales;f__Amoebophryaceae;g__Amoebophrya	88551
143592	2.0	sk__Eukaryota;k__;p__;c__Eustigmatophyceae	5747
31033	40.0	sk__Eukaryota;k__;p__;c__Eustigmatophyceae;o__Eustigmatales	425074
36379	9.0	sk__Eukaryota;k__;p__;c__Hyphochytriomycetes	42382
155014	11.0	sk__Eukaryota;k__;p__;c__Ichthyosporea;o__Ichthyophonida	198625
81925	6.0	sk__Eukaryota;k__;p__;c__Ichthyosporea;o__Ichthyophonida;f__;g__Abeoforma;s__Abeoforma_whisleri	749232
167174	1.0	sk__Eukaryota;k__;p__;c__Ichthyosporea;o__Ichthyophonida;f__Ichthyophonidae;g__Ichthyophonus	39842
41043	23.0	sk__Eukaryota;k__;p__;c__Oomycetes	4762
25059	2.0	sk__Eukaryota;k__;p__;c__Oomycetes;o__Olpidiopsidales	416805
