# Constructed from biom file
# OTU ID	SSU_rRNA	taxonomy	taxid
41722	100.0	sk__Archaea	2157
235725	3.0	sk__Archaea;k__;p__Candidatus_Bathyarchaeota	928852
156597	6.0	sk__Archaea;k__;p__Candidatus_Bathyarchaeota;c__;o__;f__;g__;s__miscellaneous_Crenarchaeota_group_archaeon_SMTZ-80	1685135
111889	3.0	sk__Archaea;k__;p__Candidatus_Lokiarchaeota	1655434
105534	1.0	sk__Archaea;k__;p__Candidatus_Woesearchaeota	1801616
195154	5679.0	sk__Archaea;k__;p__Crenarchaeota	28889
182933	1.0	sk__Archaea;k__;p__Euryarchaeota	28890
81891	12.0	sk__Archaea;k__;p__Euryarchaeota;c__;o__;f__;g__;s__Euryarchaeota_archaeon_SG8-5	1803822
231105	33.0	sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia	2599185
31359	2.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanococci;o__Methanococcales	2182
211481	9332.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia	224756
73937	8.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	94695
48483	9.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	2207
232311	5.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermococci	183968
179740	1441.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata	183967
16619	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales	1235850
210274	3.0	sk__Archaea;k__;p__Thaumarchaeota	651137
104349	1.0	sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae	338190
220170	16.0	sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	1033997
5820	8.0	sk__Bacteria	2
187899	2.0	sk__Bacteria;k__;p__Armatimonadetes	67819
31237	1.0	sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae	292625
202222	1.0	sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	292628
77379	2.0	sk__Bacteria;k__;p__Firmicutes;c__Clostridia	186801
